Step,AuT-RS-SLR,AuT-RS-BLR
0,0.6808473495963359,0.6808457372141082
1,0.7799086556596825,0.777636927
2,0.7858662333596376,0.7843022620696403
3,0.7903146598217266,0.7898556767343479
4,0.7870650945687783,0.7891046848111362
5,0.7888232460510285,0.7916406337698451
6,0.7868029787121532,0.7901999293240014
7,0.788499127,0.7923426883591285
8,0.7851611253393291,0.7899965464925105
9,0.7864924858003992,0.7914758295226921
10,0.7848498752360972,0.7903007
11,0.7858350986364702,0.7906708530473103
12,0.7824118762430896,0.7888685540019481
13,0.7867662445037523,0.7935752148463191
14,0.7828457731070408,0.7900767933284942
15,0.7809234460058954,0.7880488311647645
