,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,ReefSet,AMAuT,WHN,L1,0.7834,0.0,0.9329,0.0005,0.1495,0.0005
1,ReefSet,AMAuT,WHN,L2,0.7675,0.0,0.9288,0.0008,0.1612,0.0008
2,ReefSet,AMAuT,ENQ,L1,0.6493,0.0,0.7844,0.0022,0.1351,0.0022
3,ReefSet,AMAuT,ENQ,L2,0.6568,0.0,0.8057,0.002,0.1489,0.002
4,ReefSet,AMAuT,END1,L1,0.8274,0.0,0.9066,0.0016,0.0792,0.0016
5,ReefSet,AMAuT,END1,L2,0.8405,0.0,0.9102,0.0018,0.0697,0.0018
6,ReefSet,AMAuT,END2,L1,0.7671,0.0,0.8974,0.0009,0.1303,0.0009
7,ReefSet,AMAuT,END2,L2,0.7491,0.0,0.8782,0.0024,0.1291,0.0024
8,ReefSet,AMAuT,ENSC,L1,0.7067,0.0,0.7888,0.0067,0.0822,0.0067
9,ReefSet,AMAuT,ENSC,L2,0.6953,0.0,0.816,0.0017,0.1206,0.0017
10,ReefSet,AMAuT,PSH,L1,0.7963,0.0,0.8573,0.0019,0.061,0.0019
11,ReefSet,AMAuT,PSH,L2,0.7673,0.0,0.8398,0.0028,0.0725,0.0028
12,ReefSet,AMAuT,TST,L1,0.6704,0.0,0.9866,0.0005,0.3162,0.0005
13,ReefSet,AMAuT,TST,L2,0.6751,0.0,0.9832,0.0001,0.3081,0.0001
14,ReefSet,AMAuT,Global,L1,0.7429,0.0,0.8791,0.002,0.1362,0.002
15,ReefSet,AMAuT,Global,L2,0.7359,0.0,0.8803,0.0017,0.1443,0.0017
