,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,ReefSet,AMAuT,99136586,WHN-L1,0.8134578594388752,0.8792686474302129,0.06581078799133777
1,ReefSet,AMAuT,99136586,WHN-L2,0.8020983455636899,0.8683201410908158,0.06622179552712593
2,ReefSet,AMAuT,99136586,ENQ-L1,0.6942766472336209,0.7922181390978903,0.09794149186426937
3,ReefSet,AMAuT,99136586,ENQ-L2,0.6998041007622637,0.7950930828243603,0.09528898206209657
4,ReefSet,AMAuT,99136586,END1-L1,0.8467845967816681,0.9064048137503639,0.059620216968695794
5,ReefSet,AMAuT,99136586,END1-L2,0.8582620362635179,0.9007716034161344,0.042509567152616445
6,ReefSet,AMAuT,99136586,END2-L1,0.8022428700514336,0.8720755019902737,0.06983263193884015
7,ReefSet,AMAuT,99136586,END2-L2,0.7786599490151551,0.8619833478291437,0.08332339881398854
8,ReefSet,AMAuT,99136586,ENSC-L1,0.7455255102155212,0.8355261194790337,0.0900006092635125
9,ReefSet,AMAuT,99136586,ENSC-L2,0.7327895804113541,0.8077042051783936,0.07491462476703947
10,ReefSet,AMAuT,99136586,PSH-L1,0.8000352883474664,0.8623468496802656,0.06231156133279925
11,ReefSet,AMAuT,99136586,PSH-L2,0.762626801703109,0.831657573654754,0.06903077195164498
12,ReefSet,AMAuT,99136586,TST-L1,0.7549322388530608,0.9871140953774221,0.2321818565243613
13,ReefSet,AMAuT,99136586,TST-L2,0.7283017952301124,0.9835039716386251,0.2552021764085127
