,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,ReefSet,AMAuT,99136586,WHN-L1,0.7833939334042697,0.49739002831044343,-0.2860039050938262
1,ReefSet,AMAuT,99136586,WHN-L2,0.7675408671907251,0.4931861995253481,-0.27435466766537703
2,ReefSet,AMAuT,99136586,ENQ-L1,0.6492901187771858,0.4732140055279943,-0.17607611324919148
3,ReefSet,AMAuT,99136586,ENQ-L2,0.6568327560229308,0.4812372144236375,-0.1755955415992933
4,ReefSet,AMAuT,99136586,END1-L1,0.8273759463404415,0.48368767669199286,-0.3436882696484487
5,ReefSet,AMAuT,99136586,END1-L2,0.8405338929808582,0.48135130684900895,-0.3591825861318493
6,ReefSet,AMAuT,99136586,END2-L1,0.7671006893409985,0.48599278100474363,-0.2811079083362549
7,ReefSet,AMAuT,99136586,END2-L2,0.7490810098830067,0.47984113923491695,-0.2692398706480898
8,ReefSet,AMAuT,99136586,ENSC-L1,0.7066614929394818,0.4710040031596376,-0.2356574897798442
9,ReefSet,AMAuT,99136586,ENSC-L2,0.6953206623290143,0.46406575341428274,-0.2312549089147316
10,ReefSet,AMAuT,99136586,PSH-L1,0.7962929674574211,0.4977268562806857,-0.29856611117673537
11,ReefSet,AMAuT,99136586,PSH-L2,0.7672865548511862,0.5005311586613831,-0.26675539618980315
12,ReefSet,AMAuT,99136586,TST-L1,0.6703839776220678,0.5173353737222762,-0.15304860389979158
13,ReefSet,AMAuT,99136586,TST-L2,0.6750927603731053,0.5148640729853354,-0.16022868738776985
