,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,ReefSet,AMAuT,99136586,WHN-L1,0.7833931864343425,0.4986323978119946,-0.28476078862234794
1,ReefSet,AMAuT,99136586,WHN-L2,0.7675404235847075,0.4895598242364611,-0.2779805993482464
2,ReefSet,AMAuT,99136586,ENQ-L1,0.6492880689085575,0.47141336562667074,-0.17787470328188676
3,ReefSet,AMAuT,99136586,ENQ-L2,0.6568341911263715,0.48179100135676134,-0.1750431897696102
4,ReefSet,AMAuT,99136586,END1-L1,0.8273752942267417,0.48297172747558736,-0.34440356675115436
5,ReefSet,AMAuT,99136586,END1-L2,0.8405342763640073,0.48323093044269727,-0.3573033459213101
6,ReefSet,AMAuT,99136586,END2-L1,0.7671015894261265,0.4823501588604102,-0.2847514305657163
7,ReefSet,AMAuT,99136586,END2-L2,0.7490759161269523,0.47708977791450574,-0.2719861382124466
8,ReefSet,AMAuT,99136586,ENSC-L1,0.7066615872806219,0.4708583981326674,-0.2358031891479545
9,ReefSet,AMAuT,99136586,ENSC-L2,0.6953188030257024,0.46308995486502613,-0.23222884816067624
10,ReefSet,AMAuT,99136586,PSH-L1,0.7962926168519278,0.49685867511560744,-0.2994339417363203
11,ReefSet,AMAuT,99136586,PSH-L2,0.7672862389776608,0.49638172099817074,-0.27090451797949006
12,ReefSet,AMAuT,99136586,TST-L1,0.6703819697505182,0.520080503311996,-0.15030146643852227
13,ReefSet,AMAuT,99136586,TST-L2,0.6750929087398017,0.5153197358978024,-0.1597731728419992
