,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,ReefSet,AMAuT,WHN,L1,0.7834,0.0,0.4969,0.0019,-0.2865,0.0019
1,ReefSet,AMAuT,WHN,L2,0.7675,0.0,0.4927,0.0039,-0.2748,0.0039
2,ReefSet,AMAuT,ENQ,L1,0.6493,0.0,0.4713,0.0016,-0.178,0.0016
3,ReefSet,AMAuT,ENQ,L2,0.6568,0.0,0.4795,0.0024,-0.1773,0.0024
4,ReefSet,AMAuT,END1,L1,0.8274,0.0,0.4838,0.0008,-0.3436,0.0008
5,ReefSet,AMAuT,END1,L2,0.8405,0.0,0.484,0.0018,-0.3566,0.0018
6,ReefSet,AMAuT,END2,L1,0.7671,0.0,0.4842,0.0014,-0.2829,0.0014
7,ReefSet,AMAuT,END2,L2,0.7491,0.0,0.479,0.0018,-0.27,0.0018
8,ReefSet,AMAuT,ENSC,L1,0.7067,0.0,0.4722,0.002,-0.2345,0.002
9,ReefSet,AMAuT,ENSC,L2,0.6953,0.0,0.4623,0.0015,-0.2331,0.0015
10,ReefSet,AMAuT,PSH,L1,0.7963,0.0,0.4981,0.001,-0.2982,0.001
11,ReefSet,AMAuT,PSH,L2,0.7673,0.0,0.4979,0.0018,-0.2694,0.0018
12,ReefSet,AMAuT,TST,L1,0.6704,0.0,0.5168,0.0025,-0.1536,0.0025
13,ReefSet,AMAuT,TST,L2,0.6751,0.0,0.5148,0.0007,-0.1603,0.0007
14,ReefSet,AMAuT,Global,L1,0.7429,0.0,0.489,0.0016,-0.2539,0.0016
15,ReefSet,AMAuT,Global,L2,0.7359,0.0,0.4872,0.002,-0.2488,0.002
