,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,ReefSet,AMAuT,99136586,WHN-L1,0.7833931864343425,0.9157799051295175,0.13238671869517493
1,ReefSet,AMAuT,99136586,WHN-L2,0.7675404235847075,0.9090946088185827,0.1415541852338752
2,ReefSet,AMAuT,99136586,ENQ-L1,0.6492880689085575,0.7805967271113536,0.13130865820279614
3,ReefSet,AMAuT,99136586,ENQ-L2,0.6568341911263715,0.7898193810352481,0.13298518990887653
4,ReefSet,AMAuT,99136586,END1-L1,0.8273752942267417,0.9053017412451154,0.0779264470183737
5,ReefSet,AMAuT,99136586,END1-L2,0.8405342763640073,0.9048704593916038,0.06433618302759647
6,ReefSet,AMAuT,99136586,END2-L1,0.7671015894261265,0.8753751156377763,0.10827352621164976
7,ReefSet,AMAuT,99136586,END2-L2,0.7490759161269523,0.8593692932388556,0.11029337711190323
8,ReefSet,AMAuT,99136586,ENSC-L1,0.7066615872806219,0.8382653829916381,0.1316037957110162
9,ReefSet,AMAuT,99136586,ENSC-L2,0.6953188030257024,0.8116447094231165,0.11632590639741414
10,ReefSet,AMAuT,99136586,PSH-L1,0.7962926168519278,0.8476329966521459,0.051340379800218106
11,ReefSet,AMAuT,99136586,PSH-L2,0.7672862389776608,0.8343150603994268,0.06702882142176603
12,ReefSet,AMAuT,99136586,TST-L1,0.6703819697505182,0.9825501132803838,0.31216814352986555
13,ReefSet,AMAuT,99136586,TST-L2,0.6750929087398017,0.974674857305495,0.2995819485656933
