,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,ReefSet,AMAuT,99136586,WHN-L1,0.7833914619373816,0.9177497013717247,0.1343582394343431
1,ReefSet,AMAuT,99136586,WHN-L2,0.767540660055601,0.9106997361935295,0.14315907613792855
2,ReefSet,AMAuT,99136586,ENQ-L1,0.6492850283389425,0.7773610726584448,0.12807604431950226
3,ReefSet,AMAuT,99136586,ENQ-L2,0.6568352796117788,0.7876797418775885,0.1308444622658097
4,ReefSet,AMAuT,99136586,END1-L1,0.8273762628347071,0.9033131034428108,0.07593684060810368
5,ReefSet,AMAuT,99136586,END1-L2,0.8405329617833293,0.9035861120766663,0.06305315029333702
6,ReefSet,AMAuT,99136586,END2-L1,0.7671030196041102,0.8757700779365415,0.10866705833243129
7,ReefSet,AMAuT,99136586,END2-L2,0.749077857914384,0.8586658844077857,0.10958802649340171
8,ReefSet,AMAuT,99136586,ENSC-L1,0.7066585364601664,0.8374767196215217,0.1308181831613553
9,ReefSet,AMAuT,99136586,ENSC-L2,0.6953179119475572,0.8129155721072342,0.11759766015967699
10,ReefSet,AMAuT,99136586,PSH-L1,0.7962919093024613,0.8524664936683096,0.056174584365848323
11,ReefSet,AMAuT,99136586,PSH-L2,0.7672853865848915,0.8332716777677971,0.06598629118290555
12,ReefSet,AMAuT,99136586,TST-L1,0.6703808435642569,0.9821418158137273,0.3117609722494704
13,ReefSet,AMAuT,99136586,TST-L2,0.67509471543033,0.9743877038085874,0.29929298837825746
