,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,ReefSet,AMAuT,WHN,L1,0.7834,0.0,0.9175,0.0012,0.1341,0.0012
1,ReefSet,AMAuT,WHN,L2,0.7675,0.0,0.9093,0.0014,0.1418,0.0014
2,ReefSet,AMAuT,ENQ,L1,0.6493,0.0,0.779,0.0014,0.1297,0.0014
3,ReefSet,AMAuT,ENQ,L2,0.6568,0.0,0.7878,0.0017,0.131,0.0017
4,ReefSet,AMAuT,END1,L1,0.8274,0.0,0.9043,0.0008,0.077,0.0008
5,ReefSet,AMAuT,END1,L2,0.8405,0.0,0.9042,0.0006,0.0636,0.0006
6,ReefSet,AMAuT,END2,L1,0.7671,0.0,0.8764,0.0012,0.1093,0.0012
7,ReefSet,AMAuT,END2,L2,0.7491,0.0,0.8577,0.0022,0.1086,0.0022
8,ReefSet,AMAuT,ENSC,L1,0.7067,0.0,0.8381,0.001,0.1314,0.001
9,ReefSet,AMAuT,ENSC,L2,0.6953,0.0,0.8131,0.0018,0.1178,0.0018
10,ReefSet,AMAuT,PSH,L1,0.7963,0.0,0.8495,0.002,0.0532,0.002
11,ReefSet,AMAuT,PSH,L2,0.7673,0.0,0.8336,0.0009,0.0663,0.0009
12,ReefSet,AMAuT,TST,L1,0.6704,0.0,0.9822,0.0003,0.3118,0.0003
13,ReefSet,AMAuT,TST,L2,0.6751,0.0,0.9745,0.0001,0.2995,0.0001
14,ReefSet,AMAuT,Global,L1,0.7429,0.0,0.8781,0.0011,0.1352,0.0011
15,ReefSet,AMAuT,Global,L2,0.7359,0.0,0.8686,0.0012,0.1327,0.0012
