,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,ReefSet,CoNMix,103694794,WHN-L1,0.8647747254128125,0.9061337233313783,0.04135899791856579
1,ReefSet,CoNMix,103694794,WHN-L2,0.8546493396709461,0.8993212258977786,0.04467188622683249
2,ReefSet,CoNMix,103694794,ENQ-L1,0.762600067065976,0.8093975811260156,0.04679751406003951
3,ReefSet,CoNMix,103694794,ENQ-L2,0.7724744102654232,0.8192826298846118,0.046808219619188574
4,ReefSet,CoNMix,103694794,END1-L1,0.8756721384225641,0.9061103566653509,0.030438218242786808
5,ReefSet,CoNMix,103694794,END1-L2,0.8749421199932886,0.9104746719779953,0.03553255198470662
6,ReefSet,CoNMix,103694794,END2-L1,0.8169355118557863,0.8720922081453721,0.05515669628958586
7,ReefSet,CoNMix,103694794,END2-L2,0.8172153742174096,0.8618562000266736,0.044640825809263984
8,ReefSet,CoNMix,103694794,ENSC-L1,0.7786216941565157,0.8127316425332431,0.03410994837672743
9,ReefSet,CoNMix,103694794,ENSC-L2,0.7789873496179351,0.816296399293698,0.03730904967576287
10,ReefSet,CoNMix,103694794,TST-L1,0.9811114734870825,0.9859257777474053,0.00481430426032281
11,ReefSet,CoNMix,103694794,TST-L2,0.9684363015635972,0.9892950493112359,0.02085874774763874
