Step,HuB-B-RS-LM,HuB-B-RS-HM
0,0.7156605347483208,0.7156605347483208
1,0.7726740910340318,0.7726740356923342
2,0.7820196080247209,0.7912217485949526
3,0.7872006858348788,0.7917980718819966
4,0.7911198622902996,0.7916753731074575
5,0.7921585535792619,0.7845600176458478
6,0.790848094,0.7735385221964418
7,0.7959883129955406,0.782019059
8,0.7955770876978587,0.7812884213458532
9,0.7927871063437371,0.773129041
10,0.7938011617939796,0.7769493713023298
11,0.7916185539961426,0.7697778486562746
12,0.7890974225610302,0.7680939886368761
13,0.7926604024928295,0.769897065
14,0.7926652290278643,0.7724433595067743
15,0.7909676261791595,0.7721655078907066
