,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,ReefSet,HuBERT,WHN,L1,0.7066,0.0,0.8513,0.002,0.1447,0.002
1,ReefSet,HuBERT,WHN,L2,0.703,0.0,0.8466,0.0031,0.1436,0.0031
2,ReefSet,HuBERT,ENQ,L1,0.7009,0.0,0.782,0.001,0.081,0.001
3,ReefSet,HuBERT,ENQ,L2,0.7195,0.0,0.8039,0.0008,0.0844,0.0008
4,ReefSet,HuBERT,END1,L1,0.8341,0.0,0.9227,0.0006,0.0886,0.0006
5,ReefSet,HuBERT,END1,L2,0.8364,0.0,0.9045,0.0014,0.0681,0.0014
6,ReefSet,HuBERT,END2,L1,0.7927,0.0,0.8817,0.0008,0.089,0.0008
7,ReefSet,HuBERT,END2,L2,0.7833,0.0,0.8526,0.0025,0.0693,0.0025
8,ReefSet,HuBERT,ENSC,L1,0.6561,0.0,0.7479,0.0008,0.0918,0.0008
9,ReefSet,HuBERT,ENSC,L2,0.6641,0.0,0.7607,0.0012,0.0965,0.0012
10,ReefSet,HuBERT,PSH,L1,0.8761,0.0,0.9519,0.0003,0.0758,0.0003
11,ReefSet,HuBERT,PSH,L2,0.8419,0.0,0.9153,0.0011,0.0734,0.0011
12,ReefSet,HuBERT,TST,L1,0.7248,0.0,0.9546,0.0012,0.2298,0.0012
13,ReefSet,HuBERT,TST,L2,0.7296,0.0,0.9494,0.0014,0.2198,0.0014
14,ReefSet,HuBERT,Global,L1,0.7559,0.0,0.8703,0.001,0.1144,0.001
15,ReefSet,HuBERT,Global,L2,0.754,0.0,0.8619,0.0016,0.1079,0.0016
