,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,ReefSet,HuBERT,96480458,WHN-L1,0.706573911573723,0.8534468961354635,0.14687298456174058
1,ReefSet,HuBERT,96480458,WHN-L2,0.7030326285765411,0.8497792369023112,0.14674660832577002
2,ReefSet,HuBERT,96480458,ENQ-L1,0.7009378014764909,0.7831332590754879,0.08219545759899705
3,ReefSet,HuBERT,96480458,ENQ-L2,0.7195015887005766,0.8030622136642634,0.08356062496368688
4,ReefSet,HuBERT,96480458,END1-L1,0.8340525335466525,0.9218074860884621,0.08775495254180954
5,ReefSet,HuBERT,96480458,END1-L2,0.8363880556072313,0.9038908274219232,0.06750277181469189
6,ReefSet,HuBERT,96480458,END2-L1,0.7927109067878376,0.882317707329193,0.08960680054135539
7,ReefSet,HuBERT,96480458,END2-L2,0.7833111121327705,0.8542806651526182,0.07096955301984775
8,ReefSet,HuBERT,96480458,ENSC-L1,0.6561172161950378,0.7472499338542586,0.09113271765922082
9,ReefSet,HuBERT,96480458,ENSC-L2,0.6641383903592399,0.7622400719823517,0.09810168162311173
10,ReefSet,HuBERT,96480458,PSH-L1,0.8760642033398728,0.9519864224036039,0.07592221906373109
11,ReefSet,HuBERT,96480458,PSH-L2,0.8418823616817793,0.9152934999458519,0.07341113826407253
12,ReefSet,HuBERT,96480458,TST-L1,0.7248313032088559,0.953986491856597,0.2291551886477411
13,ReefSet,HuBERT,96480458,TST-L2,0.7295974219421878,0.9483556651264184,0.21875824318423065
