,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,ReefSet,HuBERT,96480458,WHN-L1,0.7135317740303041,0.7716452677869632,0.058113493756659085
1,ReefSet,HuBERT,96480458,WHN-L2,0.7103875029983429,0.7745657872461033,0.0641782842477604
2,ReefSet,HuBERT,96480458,ENQ-L1,0.6434408040023958,0.6869941753940405,0.043553371391644724
3,ReefSet,HuBERT,96480458,ENQ-L2,0.6658405920410763,0.7214815592222135,0.0556409671811372
4,ReefSet,HuBERT,96480458,END1-L1,0.8143169522028868,0.8134280107019868,-0.0008889415009000201
5,ReefSet,HuBERT,96480458,END1-L2,0.8085229174403085,0.8156069986785793,0.007084081238270867
6,ReefSet,HuBERT,96480458,END2-L1,0.7616947870105945,0.7873582257184962,0.025663438707901776
7,ReefSet,HuBERT,96480458,END2-L2,0.7327906306800244,0.7703285432862962,0.03753791260627182
8,ReefSet,HuBERT,96480458,ENSC-L1,0.6675000893576961,0.7179991640473417,0.05049907468964554
9,ReefSet,HuBERT,96480458,ENSC-L2,0.6773068366681289,0.7191790632784789,0.04187222661035006
10,ReefSet,HuBERT,96480458,PSH-L1,0.865866491966451,0.903279361185483,0.037412869219031974
11,ReefSet,HuBERT,96480458,PSH-L2,0.8419027427881474,0.877887740051306,0.035984997263158625
12,ReefSet,HuBERT,96480458,TST-L1,0.7686560835450676,0.885265969119446,0.11660988557437835
13,ReefSet,HuBERT,96480458,TST-L2,0.7572079030472331,0.8652939563444537,0.10808605329722065
