,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted
0,ReefSet,Hybrid,195617044,WHN-L1,0.7448677519901391,0.859691240528784
1,ReefSet,Hybrid,195617044,WHN-L2,0.7348952515770801,0.8335290885366231
2,ReefSet,Hybrid,195617044,ENQ-L1,0.598013068524967,0.7670574176506648
3,ReefSet,Hybrid,195617044,ENQ-L2,0.6091650148160992,0.789485728202242
4,ReefSet,Hybrid,195617044,END1-L1,0.7973510079734031,0.8720443749845128
5,ReefSet,Hybrid,195617044,END1-L2,0.7952050293448314,0.8817235875777408
6,ReefSet,Hybrid,195617044,END2-L1,0.7407676153802741,0.8397871203034704
7,ReefSet,Hybrid,195617044,END2-L2,0.7167091605339239,0.8336895166416864
8,ReefSet,Hybrid,195617044,ENSC-L1,0.6766959590785452,0.7830881420721842
9,ReefSet,Hybrid,195617044,ENSC-L2,0.6713997400870845,0.7728891472063278
10,ReefSet,Hybrid,195617044,PSH-L1,0.8847485793038669,0.9277339080424825
11,ReefSet,Hybrid,195617044,PSH-L2,0.8321890723194902,0.906641380601359
12,ReefSet,Hybrid,195617044,TST-L1,0.6942735955184032,0.9823372286794917
13,ReefSet,Hybrid,195617044,TST-L2,0.686715181160539,0.9741448425321756
