,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,ReefSet,PANNs,84794009,WHN-L1,0.8149937757687223,0.9452143493805336,0.13022057361181127
1,ReefSet,PANNs,84794009,WHN-L2,0.8080608251544865,0.9382793693275341,0.13021854417304757
2,ReefSet,PANNs,84794009,ENQ-L1,0.7616112123497093,0.8474833012224748,0.08587208887276554
3,ReefSet,PANNs,84794009,ENQ-L2,0.7688408055094547,0.8416518177447623,0.07281101223530762
4,ReefSet,PANNs,84794009,END1-L1,0.8815538473221654,0.9270554407893468,0.04550159346718141
5,ReefSet,PANNs,84794009,END1-L2,0.8797045179826236,0.9302819454912292,0.05057742750860561
6,ReefSet,PANNs,84794009,END2-L1,0.8503986023178743,0.9206809558890385,0.07028235357116419
7,ReefSet,PANNs,84794009,END2-L2,0.8360829374132248,0.9054755388024521,0.06939260138922732
8,ReefSet,PANNs,84794009,ENSC-L1,0.7391735013963059,0.9024480087964201,0.16327450740011418
9,ReefSet,PANNs,84794009,ENSC-L2,0.7470475277506557,0.8932923072392385,0.14624477948858272
10,ReefSet,PANNs,84794009,PSH-L1,0.9325408700087573,0.985758963817656,0.05321809380889875
11,ReefSet,PANNs,84794009,PSH-L2,0.9264995728120637,0.9818067387493072,0.055307165937243497
12,ReefSet,PANNs,84794009,TST-L1,0.7108457170303847,0.960642184158043,0.24979646712765835
13,ReefSet,PANNs,84794009,TST-L2,0.6822679949522191,0.950545979646315,0.2682779846940959
