,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,ReefSet,PANNs,84794009,WHN-L1,0.7558144133969388,0.917639297163686,0.1618248837667472
1,ReefSet,PANNs,84794009,WHN-L2,0.7519014629268679,0.9138915151078199,0.16199005218095197
2,ReefSet,PANNs,84794009,ENQ-L1,0.7233934893988505,0.8061256778255779,0.08273218842672736
3,ReefSet,PANNs,84794009,ENQ-L2,0.7313838181696504,0.8096587217504055,0.07827490358075517
4,ReefSet,PANNs,84794009,END1-L1,0.8504510847292864,0.8978066961106306,0.04735561138134414
5,ReefSet,PANNs,84794009,END1-L2,0.8474418821039709,0.899015801072959,0.05157391896898811
6,ReefSet,PANNs,84794009,END2-L1,0.8142922630872178,0.8947375672210311,0.08044530413381334
7,ReefSet,PANNs,84794009,END2-L2,0.7952917187590639,0.8695629339193818,0.07427121516031787
8,ReefSet,PANNs,84794009,ENSC-L1,0.6891329971956873,0.8576317925768483,0.16849879538116097
9,ReefSet,PANNs,84794009,ENSC-L2,0.7000998077240791,0.8561223965785726,0.1560225888544935
10,ReefSet,PANNs,84794009,PSH-L1,0.9044177223280725,0.9682441789149899,0.06382645658691743
11,ReefSet,PANNs,84794009,PSH-L2,0.8956918831464775,0.9615489199131217,0.06585703676664423
12,ReefSet,PANNs,84794009,TST-L1,0.591001076641947,0.9001705478627287,0.30916947122078164
13,ReefSet,PANNs,84794009,TST-L2,0.5493823849023094,0.8915231522027774,0.34214076730046805
