,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,ReefSet,PANNs,WHN,L1,0.815,0.0,0.9443,0.0011,0.1293,0.0011
1,ReefSet,PANNs,WHN,L2,0.808,0.0,0.9388,0.0016,0.1308,0.0016
2,ReefSet,PANNs,ENQ,L1,0.7616,0.0,0.8447,0.0019,0.0831,0.0019
3,ReefSet,PANNs,ENQ,L2,0.7688,0.0,0.8416,0.0027,0.0728,0.0027
4,ReefSet,PANNs,END1,L1,0.8815,0.0,0.9277,0.0005,0.0461,0.0005
5,ReefSet,PANNs,END1,L2,0.8797,0.0,0.9307,0.0014,0.051,0.0014
6,ReefSet,PANNs,END2,L1,0.8504,0.0,0.9227,0.0013,0.0723,0.0013
7,ReefSet,PANNs,END2,L2,0.8361,0.0,0.9074,0.0015,0.0714,0.0015
8,ReefSet,PANNs,ENSC,L1,0.7392,0.0,0.9024,0.0004,0.1632,0.0004
9,ReefSet,PANNs,ENSC,L2,0.747,0.0,0.8938,0.0005,0.1468,0.0005
10,ReefSet,PANNs,PSH,L1,0.9325,0.0,0.9858,0.0003,0.0533,0.0003
11,ReefSet,PANNs,PSH,L2,0.9265,0.0,0.9819,0.0003,0.0554,0.0003
12,ReefSet,PANNs,TST,L1,0.7108,0.0,0.9609,0.0005,0.2501,0.0005
13,ReefSet,PANNs,TST,L2,0.6822,0.0,0.9518,0.001,0.2696,0.001
14,ReefSet,PANNs,Global,L1,0.813,0.0,0.9269,0.0009,0.1139,0.0009
15,ReefSet,PANNs,Global,L2,0.8069,0.0,0.9209,0.0013,0.114,0.0013
