,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,ReefSet,PANNs,84794009,WHN-L1,0.8149736065228997,0.5181625044936513,-0.29681110202924843
1,ReefSet,PANNs,84794009,WHN-L2,0.8080390904455435,0.5219047470251827,-0.2861343434203607
2,ReefSet,PANNs,84794009,ENQ-L1,0.7616017336602892,0.5309235334041986,-0.23067820025609054
3,ReefSet,PANNs,84794009,ENQ-L2,0.7688297877456002,0.5162122050629933,-0.2526175826826069
4,ReefSet,PANNs,84794009,END1-L1,0.8815425985081365,0.5231327746704191,-0.35840982383771747
5,ReefSet,PANNs,84794009,END1-L2,0.879698656270564,0.5383741440375323,-0.34132451223303173
6,ReefSet,PANNs,84794009,END2-L1,0.8503923867665658,0.5105096315655061,-0.3398827552010597
7,ReefSet,PANNs,84794009,END2-L2,0.8360743979151287,0.5171762155799317,-0.31889818233519707
8,ReefSet,PANNs,84794009,ENSC-L1,0.7391513950111944,0.519774269015107,-0.21937712599608739
9,ReefSet,PANNs,84794009,ENSC-L2,0.7470333150004944,0.5223398775703924,-0.22469343743010206
10,ReefSet,PANNs,84794009,PSH-L1,0.9325351205467853,0.5350416720330533,-0.39749344851373203
11,ReefSet,PANNs,84794009,PSH-L2,0.9264931616799511,0.5295541666480442,-0.3969389950319069
12,ReefSet,PANNs,84794009,TST-L1,0.7108146804203243,0.5229457496826715,-0.18786893073765276
13,ReefSet,PANNs,84794009,TST-L2,0.6822438924371789,0.5187308009542952,-0.16351309148288362
