,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,ReefSet,PANNs,84794009,WHN-L1,0.8149720524180498,0.5172621314477992,-0.2977099209702506
1,ReefSet,PANNs,84794009,WHN-L2,0.8080378971692244,0.5215888417088187,-0.28644905546040567
2,ReefSet,PANNs,84794009,ENQ-L1,0.7616048519183408,0.5304868552882099,-0.23111799663013088
3,ReefSet,PANNs,84794009,ENQ-L2,0.7688340846796111,0.5167023601477525,-0.2521317245318586
4,ReefSet,PANNs,84794009,END1-L1,0.8815433892523178,0.5229140254097929,-0.35862936384252486
5,ReefSet,PANNs,84794009,END1-L2,0.8797006445609838,0.5382803732442565,-0.34142027131672736
6,ReefSet,PANNs,84794009,END2-L1,0.8503897242931007,0.5102887456644315,-0.34010097862866917
7,ReefSet,PANNs,84794009,END2-L2,0.8360753744660027,0.5190431514829771,-0.3170322229830256
8,ReefSet,PANNs,84794009,ENSC-L1,0.7391468113745585,0.5196832936568614,-0.21946351771769712
9,ReefSet,PANNs,84794009,ENSC-L2,0.747027958093204,0.5226991613756197,-0.22432879671758432
10,ReefSet,PANNs,84794009,PSH-L1,0.9325373944260168,0.5347690713834872,-0.3977683230425296
11,ReefSet,PANNs,84794009,PSH-L2,0.9264960354048616,0.5285737176128589,-0.3979223177920027
12,ReefSet,PANNs,84794009,TST-L1,0.7108152333299294,0.5238967559430638,-0.1869184773868655
13,ReefSet,PANNs,84794009,TST-L2,0.6822357682845847,0.518118561623472,-0.16411720666111262
