,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,ReefSet,PANNs,WHN,L1,0.815,0.0,0.5182,0.0,-0.2968,0.0
1,ReefSet,PANNs,WHN,L2,0.808,0.0,0.5219,0.0,-0.2861,0.0
2,ReefSet,PANNs,ENQ,L1,0.7616,0.0,0.5309,0.0,-0.2307,0.0
3,ReefSet,PANNs,ENQ,L2,0.7688,0.0,0.5162,0.0,-0.2526,0.0
4,ReefSet,PANNs,END1,L1,0.8815,0.0,0.5231,0.0,-0.3584,0.0
5,ReefSet,PANNs,END1,L2,0.8797,0.0,0.5384,0.0,-0.3413,0.0
6,ReefSet,PANNs,END2,L1,0.8504,0.0,0.5105,0.0,-0.3399,0.0
7,ReefSet,PANNs,END2,L2,0.8361,0.0,0.5171,0.0001,-0.3189,0.0001
8,ReefSet,PANNs,ENSC,L1,0.7391,0.0,0.5198,0.0,-0.2194,0.0
9,ReefSet,PANNs,ENSC,L2,0.747,0.0,0.5223,0.0,-0.2247,0.0
10,ReefSet,PANNs,PSH,L1,0.9325,0.0,0.535,0.0,-0.3975,0.0
11,ReefSet,PANNs,PSH,L2,0.9265,0.0,0.5295,0.0,-0.397,0.0
12,ReefSet,PANNs,TST,L1,0.7108,0.0,0.5229,0.0,-0.1879,0.0
13,ReefSet,PANNs,TST,L2,0.6822,0.0,0.5187,0.0,-0.1635,0.0
14,ReefSet,PANNs,Global,L1,0.813,0.0,0.5229,0.0,-0.2901,0.0
15,ReefSet,PANNs,Global,L2,0.8069,0.0,0.5234,0.0,-0.2834,0.0
