,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,ReefSet,PANNs,84794009,WHN-L1,0.8149921919946724,0.9302584360755302,0.11526624408085773
1,ReefSet,PANNs,84794009,WHN-L2,0.8080576030038852,0.9264191649838899,0.11836156198000469
2,ReefSet,PANNs,84794009,ENQ-L1,0.7616145300150747,0.8276237244978212,0.06600919448274645
3,ReefSet,PANNs,84794009,ENQ-L2,0.7688438673710126,0.8384371646225665,0.06959329725155383
4,ReefSet,PANNs,84794009,END1-L1,0.8815512230356912,0.9303236479021629,0.04877242486647171
5,ReefSet,PANNs,84794009,END1-L2,0.8797073067923683,0.9361484728433411,0.056441166050972824
6,ReefSet,PANNs,84794009,END2-L1,0.8503980864900459,0.9119958780967952,0.061597791606749275
7,ReefSet,PANNs,84794009,END2-L2,0.8360833927944773,0.8909875340636499,0.054904141269172646
8,ReefSet,PANNs,84794009,ENSC-L1,0.7391673281037583,0.8889607935988126,0.14979346549505435
9,ReefSet,PANNs,84794009,ENSC-L2,0.7470474695989154,0.8597336473823657,0.11268617778345025
10,ReefSet,PANNs,84794009,PSH-L1,0.9325396353885298,0.9806031258696967,0.04806349048116687
11,ReefSet,PANNs,84794009,PSH-L2,0.926502339368955,0.9757422201013044,0.04923988073234942
12,ReefSet,PANNs,84794009,TST-L1,0.7108452155402114,0.8989164004642403,0.18807118492402886
13,ReefSet,PANNs,84794009,TST-L2,0.6822665297306609,0.8859701400855089,0.20370361035484796
