,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,ReefSet,PANNs,84794009,WHN-L1,0.8149852168968458,0.9325334777045721,0.11754826080772629
1,ReefSet,PANNs,84794009,WHN-L2,0.8080508720191124,0.9330393588661625,0.1249884868470501
2,ReefSet,PANNs,84794009,ENQ-L1,0.7616065457223197,0.840069251892339,0.07846270617001938
3,ReefSet,PANNs,84794009,ENQ-L2,0.7688388039235491,0.8432492283448159,0.07441042442126677
4,ReefSet,PANNs,84794009,END1-L1,0.8815488889238262,0.9303385341808873,0.04878964525706109
5,ReefSet,PANNs,84794009,END1-L2,0.8797036398948865,0.9367756278073263,0.057071987912439726
6,ReefSet,PANNs,84794009,END2-L1,0.8503958167365725,0.914631792122622,0.06423597538604953
7,ReefSet,PANNs,84794009,END2-L2,0.8360775856677837,0.8930600311519312,0.05698244548414755
8,ReefSet,PANNs,84794009,ENSC-L1,0.7391625320296729,0.8848753769619132,0.14571284493224035
9,ReefSet,PANNs,84794009,ENSC-L2,0.7470376272578708,0.8486584973697233,0.1016208701118525
10,ReefSet,PANNs,84794009,PSH-L1,0.9325390285685646,0.9803530428933738,0.04781401432480914
11,ReefSet,PANNs,84794009,PSH-L2,0.9264979706285036,0.9767832836890677,0.05028531306056416
12,ReefSet,PANNs,84794009,TST-L1,0.7108441912027696,0.8972451083745657,0.18640091717179608
13,ReefSet,PANNs,84794009,TST-L2,0.6822682879852324,0.8812917888049769,0.19902350081974451
