,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,ReefSet,PANNs,WHN,L1,0.815,0.0,0.9331,0.0023,0.1182,0.0023
1,ReefSet,PANNs,WHN,L2,0.808,0.0,0.9305,0.0025,0.1224,0.0026
2,ReefSet,PANNs,ENQ,L1,0.7616,0.0,0.8328,0.0063,0.0712,0.0063
3,ReefSet,PANNs,ENQ,L2,0.7688,0.0,0.8435,0.0047,0.0747,0.0047
4,ReefSet,PANNs,END1,L1,0.8815,0.0,0.9298,0.0005,0.0482,0.0005
5,ReefSet,PANNs,END1,L2,0.8797,0.0,0.9362,0.0006,0.0565,0.0006
6,ReefSet,PANNs,END2,L1,0.8504,0.0,0.9117,0.0019,0.0613,0.0019
7,ReefSet,PANNs,END2,L2,0.8361,0.0,0.8917,0.0015,0.0556,0.0015
8,ReefSet,PANNs,ENSC,L1,0.7392,0.0,0.8803,0.0085,0.1412,0.0085
9,ReefSet,PANNs,ENSC,L2,0.747,0.0,0.8551,0.0057,0.108,0.0057
10,ReefSet,PANNs,PSH,L1,0.9325,0.0,0.98,0.0007,0.0475,0.0007
11,ReefSet,PANNs,PSH,L2,0.9265,0.0,0.976,0.0006,0.0495,0.0006
12,ReefSet,PANNs,TST,L1,0.7108,0.0,0.8993,0.0015,0.1885,0.0016
13,ReefSet,PANNs,TST,L2,0.6822,0.0,0.8841,0.002,0.2018,0.002
14,ReefSet,PANNs,Global,L1,0.813,0.0,0.9096,0.0031,0.0966,0.0031
15,ReefSet,PANNs,Global,L2,0.8069,0.0,0.9024,0.0025,0.0955,0.0025
