,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,SpeechCommandsV2,AMAuT,WHN,L1,0.7748,0.0001,0.8869,0.0022,0.1121,0.0021
1,SpeechCommandsV2,AMAuT,WHN,L2,0.7584,0.0,0.8804,0.0028,0.122,0.0028
2,SpeechCommandsV2,AMAuT,ENQ,L1,0.8451,0.0,0.8689,0.0006,0.0238,0.0007
3,SpeechCommandsV2,AMAuT,ENQ,L2,0.8569,0.0,0.8799,0.0012,0.023,0.0012
4,SpeechCommandsV2,AMAuT,END1,L1,0.9038,0.0,0.9211,0.0009,0.0173,0.0009
5,SpeechCommandsV2,AMAuT,END1,L2,0.9078,0.0,0.9232,0.0005,0.0154,0.0005
6,SpeechCommandsV2,AMAuT,END2,L1,0.9084,0.0001,0.9233,0.0007,0.0149,0.0007
7,SpeechCommandsV2,AMAuT,END2,L2,0.9021,0.0,0.9168,0.0026,0.0148,0.0026
8,SpeechCommandsV2,AMAuT,ENSC,L1,0.7435,0.0001,0.8615,0.0013,0.118,0.0013
9,SpeechCommandsV2,AMAuT,ENSC,L2,0.7493,0.0,0.8516,0.0014,0.1024,0.0014
10,SpeechCommandsV2,AMAuT,PSH,L1,0.7395,0.0,0.8149,0.0055,0.0754,0.0055
11,SpeechCommandsV2,AMAuT,PSH,L2,0.5857,0.0,0.7062,0.0055,0.1205,0.0055
12,SpeechCommandsV2,AMAuT,TST,L1,0.8871,0.0,0.9452,0.0011,0.0581,0.0011
13,SpeechCommandsV2,AMAuT,TST,L2,0.8742,0.0001,0.9412,0.0018,0.067,0.0018
14,SpeechCommandsV2,AMAuT,Global,L1,0.8289,0.0,0.8888,0.0018,0.0599,0.0018
15,SpeechCommandsV2,AMAuT,Global,L2,0.8049,0.0,0.8713,0.0023,0.0664,0.0023
