,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,SpeechCommandsV2,AMAuT,103072070,WHN-L1,0.7748296228986824,0.8886869604725125,0.1138573375738301
1,SpeechCommandsV2,AMAuT,103072070,WHN-L2,0.7583825533848251,0.8818718764198091,0.12348932303498406
2,SpeechCommandsV2,AMAuT,103072070,ENQ-L1,0.8451612903225807,0.8677873693775556,0.022626079054974935
3,SpeechCommandsV2,AMAuT,103072070,ENQ-L2,0.8568832348932304,0.8803271240345297,0.023443889141299357
4,SpeechCommandsV2,AMAuT,103072070,END1-L1,0.9037710131758292,0.9197637437528396,0.01599273057701045
5,SpeechCommandsV2,AMAuT,103072070,END1-L2,0.9077691958200818,0.9238527941844616,0.016083598364379892
6,SpeechCommandsV2,AMAuT,103072070,END2-L1,0.9084052703316674,0.9233984552476148,0.014993184915947366
7,SpeechCommandsV2,AMAuT,103072070,END2-L2,0.902044525215811,0.9184007269422989,0.016356201726487885
8,SpeechCommandsV2,AMAuT,103072070,ENSC-L1,0.7434802362562472,0.8626079054975011,0.11912766924125395
9,SpeechCommandsV2,AMAuT,103072070,ENSC-L2,0.7492957746478873,0.8517946388005452,0.10249886415265785
10,SpeechCommandsV2,AMAuT,103072070,PSH-L1,0.7394820536119946,0.8189913675601999,0.07950931394820526
11,SpeechCommandsV2,AMAuT,103072070,PSH-L2,0.5856428895956384,0.7104952294411631,0.12485233984552468
12,SpeechCommandsV2,AMAuT,103072070,TST-L1,0.8871422080872331,0.9462971376646979,0.05915492957746482
13,SpeechCommandsV2,AMAuT,103072070,TST-L2,0.8742389822807815,0.9437528396183553,0.06951385733757387
