,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,SpeechCommandsV2,AMAuT,103072070,WHN-L1,0.7747387551113131,0.886869604725125,0.11213084961381192
1,SpeechCommandsV2,AMAuT,103072070,WHN-L2,0.7583825533848251,0.8763289413902772,0.1179463880054521
2,SpeechCommandsV2,AMAuT,103072070,ENQ-L1,0.8451612903225807,0.8689686506133576,0.023807360290776902
3,SpeechCommandsV2,AMAuT,103072070,ENQ-L2,0.8568832348932304,0.8800545206724216,0.023171285779191253
4,SpeechCommandsV2,AMAuT,103072070,END1-L1,0.9037710131758292,0.9213993639254884,0.017628350749659183
5,SpeechCommandsV2,AMAuT,103072070,END1-L2,0.9077691958200818,0.9230349840981372,0.01526578827805547
6,SpeechCommandsV2,AMAuT,103072070,END2-L1,0.9083144025442981,0.9223080417991822,0.013993639254884171
7,SpeechCommandsV2,AMAuT,103072070,END2-L2,0.902044525215811,0.9190368014538846,0.016992276238073534
8,SpeechCommandsV2,AMAuT,103072070,ENSC-L1,0.7434802362562472,0.8614266242616992,0.1179463880054521
9,SpeechCommandsV2,AMAuT,103072070,ENSC-L2,0.749204906860518,0.8526124488868696,0.1034075420263516
10,SpeechCommandsV2,AMAuT,103072070,PSH-L1,0.7394820536119946,0.815629259427533,0.07614720581553835
11,SpeechCommandsV2,AMAuT,103072070,PSH-L2,0.5857337573830077,0.7087687414811449,0.12303498409813718
12,SpeechCommandsV2,AMAuT,103072070,TST-L1,0.8870513402998637,0.9461154020899591,0.05906406179009549
13,SpeechCommandsV2,AMAuT,103072070,TST-L2,0.8742389822807815,0.9420263516583371,0.0677873693775557
