,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,SpeechCommandsV2,AMAuT,103072070,WHN-L1,0.7747387551113131,0.2958655156746933,-0.47887323943661975
1,SpeechCommandsV2,AMAuT,103072070,WHN-L2,0.7585642889595638,0.29168559745570194,-0.4668786915038619
2,SpeechCommandsV2,AMAuT,103072070,ENQ-L1,0.84525215810995,0.3002271694684234,-0.5450249886415266
3,SpeechCommandsV2,AMAuT,103072070,ENQ-L2,0.8569741026805997,0.3117673784643344,-0.5452067242162653
4,SpeechCommandsV2,AMAuT,103072070,END1-L1,0.9037710131758292,0.35084052703316676,-0.5529304861426625
5,SpeechCommandsV2,AMAuT,103072070,END1-L2,0.9077691958200818,0.3462971376646979,-0.5614720581553838
6,SpeechCommandsV2,AMAuT,103072070,END2-L1,0.9084052703316674,0.3461154020899591,-0.5622898682417083
7,SpeechCommandsV2,AMAuT,103072070,END2-L2,0.902044525215811,0.3422989550204453,-0.5597455701953657
8,SpeechCommandsV2,AMAuT,103072070,ENSC-L1,0.7437528396183553,0.2870513402998637,-0.4567014993184916
9,SpeechCommandsV2,AMAuT,103072070,ENSC-L2,0.749204906860518,0.2870513402998637,-0.4621535665606543
10,SpeechCommandsV2,AMAuT,103072070,PSH-L1,0.7395729213993639,0.2870513402998637,-0.45252158109950025
11,SpeechCommandsV2,AMAuT,103072070,PSH-L2,0.5855520218082689,0.24152657882780554,-0.3440254429804634
12,SpeechCommandsV2,AMAuT,103072070,TST-L1,0.8870513402998637,0.3587460245343026,-0.5283053157655611
13,SpeechCommandsV2,AMAuT,103072070,TST-L2,0.8742389822807815,0.35520218082689686,-0.5190368014538846
