,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,SpeechCommandsV2,AMAuT,103072070,WHN-L1,0.7748296228986824,0.2959563834620627,-0.4788732394366197
1,SpeechCommandsV2,AMAuT,103072070,WHN-L2,0.7585642889595638,0.29168559745570194,-0.4668786915038619
2,SpeechCommandsV2,AMAuT,103072070,ENQ-L1,0.8451612903225807,0.3004997728305316,-0.544661517492049
3,SpeechCommandsV2,AMAuT,103072070,ENQ-L2,0.8567923671058609,0.3117673784643344,-0.5450249886415266
4,SpeechCommandsV2,AMAuT,103072070,END1-L1,0.9038618809631985,0.3510222626079055,-0.552839618355293
5,SpeechCommandsV2,AMAuT,103072070,END1-L2,0.9077691958200818,0.34593366651522034,-0.5618355293048614
6,SpeechCommandsV2,AMAuT,103072070,END2-L1,0.9084052703316674,0.3462062698773285,-0.5621990004543389
7,SpeechCommandsV2,AMAuT,103072070,END2-L2,0.902044525215811,0.342480690595184,-0.5595638346206271
8,SpeechCommandsV2,AMAuT,103072070,ENSC-L1,0.7434802362562472,0.2866878691503862,-0.45679236710586096
9,SpeechCommandsV2,AMAuT,103072070,ENSC-L2,0.7491140390731486,0.28686960472512496,-0.4622444343480236
10,SpeechCommandsV2,AMAuT,103072070,PSH-L1,0.7394820536119946,0.28723307587460245,-0.45224897773739214
11,SpeechCommandsV2,AMAuT,103072070,PSH-L2,0.5855520218082689,0.24152657882780554,-0.3440254429804634
12,SpeechCommandsV2,AMAuT,103072070,TST-L1,0.8871422080872331,0.3586551567469332,-0.5284870513402999
13,SpeechCommandsV2,AMAuT,103072070,TST-L2,0.8742389822807815,0.355474784189005,-0.5187641980917764
