,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,SpeechCommandsV2,AMAuT,WHN,L1,0.7748,0.0,0.2959,0.0,-0.4789,0.0001
1,SpeechCommandsV2,AMAuT,WHN,L2,0.7585,0.0,0.2917,0.0001,-0.4668,0.0001
2,SpeechCommandsV2,AMAuT,ENQ,L1,0.8452,0.0,0.3004,0.0001,-0.5448,0.0001
3,SpeechCommandsV2,AMAuT,ENQ,L2,0.8569,0.0001,0.3118,0.0001,-0.5451,0.0002
4,SpeechCommandsV2,AMAuT,END1,L1,0.9038,0.0,0.3509,0.0001,-0.5529,0.0001
5,SpeechCommandsV2,AMAuT,END1,L2,0.9078,0.0,0.3461,0.0001,-0.5617,0.0001
6,SpeechCommandsV2,AMAuT,END2,L1,0.9084,0.0,0.3462,0.0001,-0.5622,0.0001
7,SpeechCommandsV2,AMAuT,END2,L2,0.902,0.0,0.3425,0.0001,-0.5595,0.0001
8,SpeechCommandsV2,AMAuT,ENSC,L1,0.7436,0.0001,0.2867,0.0002,-0.4569,0.0001
9,SpeechCommandsV2,AMAuT,ENSC,L2,0.7492,0.0,0.287,0.0001,-0.4622,0.0001
10,SpeechCommandsV2,AMAuT,PSH,L1,0.7395,0.0,0.2872,0.0002,-0.4523,0.0002
11,SpeechCommandsV2,AMAuT,PSH,L2,0.5856,0.0,0.2415,0.0001,-0.344,0.0001
12,SpeechCommandsV2,AMAuT,TST,L1,0.8871,0.0,0.3588,0.0001,-0.5283,0.0001
13,SpeechCommandsV2,AMAuT,TST,L2,0.8742,0.0,0.3553,0.0001,-0.519,0.0001
14,SpeechCommandsV2,AMAuT,Global,L1,0.8289,0.0,0.318,0.0001,-0.5109,0.0001
15,SpeechCommandsV2,AMAuT,Global,L2,0.8049,0.0,0.3108,0.0001,-0.494,0.0001
