,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,SpeechCommandsV2,AMAuT,103072070,WHN-L1,0.7747387551113131,0.863062244434348,0.08832348932303491
1,SpeechCommandsV2,AMAuT,103072070,WHN-L2,0.7585642889595638,0.8509768287142208,0.09241253975465691
2,SpeechCommandsV2,AMAuT,103072070,ENQ-L1,0.84525215810995,0.8446160835983644,-0.0006360745115856492
3,SpeechCommandsV2,AMAuT,103072070,ENQ-L2,0.8569741026805997,0.8576101771921854,0.0006360745115856492
4,SpeechCommandsV2,AMAuT,103072070,END1-L1,0.9037710131758292,0.908768741481145,0.004997728305315752
5,SpeechCommandsV2,AMAuT,103072070,END1-L2,0.9077691958200818,0.9127669241253975,0.004997728305315752
6,SpeechCommandsV2,AMAuT,103072070,END2-L1,0.9084052703316674,0.9125851885506588,0.004179918218991441
7,SpeechCommandsV2,AMAuT,103072070,END2-L2,0.902044525215811,0.9060427078600636,0.003998182644252557
8,SpeechCommandsV2,AMAuT,103072070,ENSC-L1,0.7437528396183553,0.8333484779645616,0.08959563834620632
9,SpeechCommandsV2,AMAuT,103072070,ENSC-L2,0.749204906860518,0.8169014084507042,0.06769650159018625
10,SpeechCommandsV2,AMAuT,103072070,PSH-L1,0.7395729213993639,0.7532030895047706,0.013630168105406626
11,SpeechCommandsV2,AMAuT,103072070,PSH-L2,0.5855520218082689,0.5987278509768287,0.01317582916855975
12,SpeechCommandsV2,AMAuT,103072070,TST-L1,0.8870513402998637,0.9263970922308041,0.039345751930940476
13,SpeechCommandsV2,AMAuT,103072070,TST-L2,0.8742389822807815,0.9195820081781009,0.04534302589731942
