,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,SpeechCommandsV2,AMAuT,103072070,WHN-L1,0.7747387551113131,0.8624261699227623,0.08768741481144926
1,SpeechCommandsV2,AMAuT,103072070,WHN-L2,0.7585642889595638,0.8518855065879146,0.09332121762835077
2,SpeechCommandsV2,AMAuT,103072070,ENQ-L1,0.84525215810995,0.8456156292594276,0.00036347114947754555
3,SpeechCommandsV2,AMAuT,103072070,ENQ-L2,0.8569741026805997,0.8547932757837347,-0.0021808268968650513
4,SpeechCommandsV2,AMAuT,103072070,END1-L1,0.9038618809631985,0.9094048159927306,0.00554293502953207
5,SpeechCommandsV2,AMAuT,103072070,END1-L2,0.9077691958200818,0.9115856428895956,0.0038164470695138952
6,SpeechCommandsV2,AMAuT,103072070,END2-L1,0.9084052703316674,0.9124034529759201,0.003998182644252668
7,SpeechCommandsV2,AMAuT,103072070,END2-L2,0.902044525215811,0.9054975011358474,0.0034529759200363497
8,SpeechCommandsV2,AMAuT,103072070,ENSC-L1,0.7437528396183553,0.8340754202635166,0.0903225806451613
9,SpeechCommandsV2,AMAuT,103072070,ENSC-L2,0.749204906860518,0.8174466151749205,0.06824170831440246
10,SpeechCommandsV2,AMAuT,103072070,PSH-L1,0.7395729213993639,0.7501135847342117,0.010540663334847822
11,SpeechCommandsV2,AMAuT,103072070,PSH-L2,0.5855520218082689,0.5939118582462517,0.00835983643798277
12,SpeechCommandsV2,AMAuT,103072070,TST-L1,0.8870513402998637,0.9268514311676511,0.03980009086778746
13,SpeechCommandsV2,AMAuT,103072070,TST-L2,0.8742389822807815,0.9195820081781009,0.04534302589731942
