,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,SpeechCommandsV2,AMAuT,WHN,L1,0.7747,0.0,0.8626,0.0004,0.0879,0.0004
1,SpeechCommandsV2,AMAuT,WHN,L2,0.7586,0.0,0.8523,0.001,0.0937,0.001
2,SpeechCommandsV2,AMAuT,ENQ,L1,0.8453,0.0,0.844,0.0011,-0.0012,0.0011
3,SpeechCommandsV2,AMAuT,ENQ,L2,0.857,0.0,0.8565,0.0012,-0.0005,0.0012
4,SpeechCommandsV2,AMAuT,END1,L1,0.9038,0.0,0.9094,0.0006,0.0055,0.0006
5,SpeechCommandsV2,AMAuT,END1,L2,0.9078,0.0,0.9125,0.0006,0.0048,0.0006
6,SpeechCommandsV2,AMAuT,END2,L1,0.9084,0.0,0.9126,0.0006,0.0042,0.0006
7,SpeechCommandsV2,AMAuT,END2,L2,0.902,0.0,0.9053,0.0006,0.0032,0.0006
8,SpeechCommandsV2,AMAuT,ENSC,L1,0.7438,0.0,0.8339,0.0004,0.0902,0.0004
9,SpeechCommandsV2,AMAuT,ENSC,L2,0.7492,0.0,0.8171,0.001,0.0679,0.001
10,SpeechCommandsV2,AMAuT,PSH,L1,0.7396,0.0,0.7516,0.0012,0.012,0.0012
11,SpeechCommandsV2,AMAuT,PSH,L2,0.5856,0.0,0.5965,0.002,0.0109,0.002
12,SpeechCommandsV2,AMAuT,TST,L1,0.8871,0.0,0.9267,0.0002,0.0397,0.0002
13,SpeechCommandsV2,AMAuT,TST,L2,0.8742,0.0,0.9193,0.0003,0.045,0.0003
14,SpeechCommandsV2,AMAuT,Global,L1,0.829,0.0,0.863,0.0006,0.034,0.0006
15,SpeechCommandsV2,AMAuT,Global,L2,0.8049,0.0,0.8371,0.001,0.0321,0.001
