,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,SpeechCommandsV2,CoNMix,103694278,WHN-L1,0.8457064970467969,0.8941390277146751,0.048432530667878226
1,SpeechCommandsV2,CoNMix,103694278,WHN-L2,0.8345297592003634,0.88759654702408,0.053066787823716544
2,SpeechCommandsV2,CoNMix,103694278,ENQ-L1,0.8233530213539301,0.8707860063607451,0.04743298500681503
3,SpeechCommandsV2,CoNMix,103694278,ENQ-L2,0.8309859154929577,0.8749659245797364,0.04398000908677868
4,SpeechCommandsV2,CoNMix,103694278,END1-L1,0.8915947296683325,0.9108587005906407,0.019263970922308138
5,SpeechCommandsV2,CoNMix,103694278,END1-L2,0.8952294411631077,0.9144934120854157,0.019263970922308027
6,SpeechCommandsV2,CoNMix,103694278,END2-L1,0.896501590186279,0.915765561108587,0.019263970922308027
7,SpeechCommandsV2,CoNMix,103694278,END2-L2,0.88759654702408,0.9122217174011813,0.024625170377101324
8,SpeechCommandsV2,CoNMix,103694278,ENSC-L1,0.8058155383916402,0.8653339391185825,0.059518400726942255
9,SpeechCommandsV2,CoNMix,103694278,ENSC-L2,0.8022716946842344,0.8602453430258973,0.05797364834166285
10,SpeechCommandsV2,CoNMix,103694278,TST-L1,0.9163107678328033,0.9400272603362109,0.02371649250340757
11,SpeechCommandsV2,CoNMix,103694278,TST-L2,0.8981372103589278,0.9385733757383008,0.040436165379373
