,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,SpeechCommandsV2,HuBERT,WHN,L1,0.9354,0.0,0.9479,0.001,0.0125,0.001
1,SpeechCommandsV2,HuBERT,WHN,L2,0.932,0.0,0.9498,0.0009,0.0177,0.0009
2,SpeechCommandsV2,HuBERT,ENQ,L1,0.9345,0.0001,0.9451,0.0008,0.0105,0.0008
3,SpeechCommandsV2,HuBERT,ENQ,L2,0.9425,0.0,0.9486,0.0009,0.0061,0.0009
4,SpeechCommandsV2,HuBERT,END1,L1,0.9577,0.0001,0.9608,0.0001,0.0031,0.0002
5,SpeechCommandsV2,HuBERT,END1,L2,0.9629,0.0002,0.9646,0.0007,0.0016,0.0006
6,SpeechCommandsV2,HuBERT,END2,L1,0.964,0.0,0.9679,0.0007,0.0039,0.0007
7,SpeechCommandsV2,HuBERT,END2,L2,0.9587,0.0001,0.9642,0.0002,0.0055,0.0003
8,SpeechCommandsV2,HuBERT,ENSC,L1,0.9197,0.0,0.9387,0.0002,0.0191,0.0002
9,SpeechCommandsV2,HuBERT,ENSC,L2,0.9229,0.0,0.9376,0.0011,0.0147,0.0011
10,SpeechCommandsV2,HuBERT,PSH,L1,0.8268,0.0,0.9303,0.001,0.1035,0.001
11,SpeechCommandsV2,HuBERT,PSH,L2,0.6987,0.0,0.9084,0.0016,0.2097,0.0016
12,SpeechCommandsV2,HuBERT,TST,L1,0.9431,0.0,0.9683,0.0003,0.0252,0.0003
13,SpeechCommandsV2,HuBERT,TST,L2,0.9408,0.0,0.9681,0.0001,0.0273,0.0001
14,SpeechCommandsV2,HuBERT,Global,L1,0.9259,0.0,0.9513,0.0006,0.0254,0.0006
15,SpeechCommandsV2,HuBERT,Global,L2,0.9084,0.0,0.9488,0.0008,0.0404,0.0008
