,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,SpeechCommandsV2,HuBERT,96479942,WHN-L1,0.9353930031803726,0.9478418900499773,0.01244888686960477
1,SpeechCommandsV2,HuBERT,96479942,WHN-L2,0.9320308950477056,0.9497501135847342,0.017719218537028514
2,SpeechCommandsV2,HuBERT,96479942,ENQ-L1,0.9345751930940481,0.9460245343025897,0.011449341208541575
3,SpeechCommandsV2,HuBERT,96479942,ENQ-L2,0.942480690595184,0.9486597001363016,0.006179009541117608
4,SpeechCommandsV2,HuBERT,96479942,END1-L1,0.9577464788732394,0.961472058155384,0.0037255792821445644
5,SpeechCommandsV2,HuBERT,96479942,END1-L2,0.9628350749659246,0.9651976374375284,0.002362562471603824
6,SpeechCommandsV2,HuBERT,96479942,END2-L1,0.9640163562017265,0.9685597455701954,0.004543389368468875
7,SpeechCommandsV2,HuBERT,96479942,END2-L2,0.9586551567469332,0.9641980917764652,0.005542935029531959
8,SpeechCommandsV2,HuBERT,96479942,ENSC-L1,0.9196728759654702,0.9383007723761927,0.01862789641072249
9,SpeechCommandsV2,HuBERT,96479942,ENSC-L2,0.9229441163107678,0.9371194911403907,0.014175374829622944
10,SpeechCommandsV2,HuBERT,96479942,PSH-L1,0.8268059972739664,0.9304861426624261,0.10368014538845971
11,SpeechCommandsV2,HuBERT,96479942,PSH-L2,0.698682417083144,0.9074057246706043,0.20872330758746027
12,SpeechCommandsV2,HuBERT,96479942,TST-L1,0.9431167651067697,0.9681054066333484,0.02498864152657876
13,SpeechCommandsV2,HuBERT,96479942,TST-L2,0.9407542026351658,0.9672875965470241,0.026533393911858272
