,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted
0,SpeechCommandsV2,199552012,Hybrid,WHN-L1,0.9349386642435257,0.9473875511131304
1,SpeechCommandsV2,199552012,Hybrid,WHN-L2,0.9323943661971831,0.9488414357110404
2,SpeechCommandsV2,199552012,Hybrid,ENQ-L1,0.9377555656519764,0.9442980463425715
3,SpeechCommandsV2,199552012,Hybrid,ENQ-L2,0.9454793275783735,0.9503861880963198
4,SpeechCommandsV2,199552012,Hybrid,END1-L1,0.9592912312585189,0.9631985461154021
5,SpeechCommandsV2,199552012,Hybrid,END1-L2,0.9632894139027715,0.9659245797364834
6,SpeechCommandsV2,199552012,Hybrid,END2-L1,0.9657428441617446,0.968468877782826
7,SpeechCommandsV2,199552012,Hybrid,END2-L2,0.9603816447069514,0.9644706951385734
8,SpeechCommandsV2,199552012,Hybrid,ENSC-L1,0.921308496138119,0.9387551113130396
9,SpeechCommandsV2,199552012,Hybrid,ENSC-L2,0.9211267605633803,0.9379373012267151
10,SpeechCommandsV2,199552012,Hybrid,PSH-L1,0.8359836437982735,0.9303952748750568
11,SpeechCommandsV2,199552012,Hybrid,PSH-L2,0.7049522944116311,0.9082235347569286
12,SpeechCommandsV2,199552012,Hybrid,TST-L1,0.9487505679236711,0.9704679691049523
13,SpeechCommandsV2,199552012,Hybrid,TST-L2,0.9458427987278509,0.9685597455701954
