,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,SpeechCommandsV2,PANNs,84792981,WHN-L1,0.7127669241253975,0.811812812358019,0.0990458882326215
1,SpeechCommandsV2,PANNs,84792981,WHN-L2,0.7043162199000454,0.805542935029532,0.10122671512948656
2,SpeechCommandsV2,PANNs,84792981,ENQ-L1,0.752112676056338,0.7800999545661064,0.027987278509768343
3,SpeechCommandsV2,PANNs,84792981,ENQ-L2,0.7645615629259428,0.7899136756019991,0.025352112676056304
4,SpeechCommandsV2,PANNs,84792981,END1-L1,0.8368923216719673,0.848614266242617,0.01172194457064979
5,SpeechCommandsV2,PANNs,84792981,END1-L2,0.8401635620172648,0.8564288959563835,0.016265333939118665
6,SpeechCommandsV2,PANNs,84792981,END2-L1,0.8400726942298955,0.8506133575647433,0.010540663334847822
7,SpeechCommandsV2,PANNs,84792981,END2-L2,0.8353475692866879,0.8475238527941844,0.012176283507496555
8,SpeechCommandsV2,PANNs,84792981,ENSC-L1,0.6817810086324398,0.7820081781008632,0.10022716946842336
9,SpeechCommandsV2,PANNs,84792981,ENSC-L2,0.6880508859609269,0.7627442071785552,0.07469332121762828
10,SpeechCommandsV2,PANNs,84792981,PSH-L1,0.704225352112676,0.725397546569741,0.021172194457064974
11,SpeechCommandsV2,PANNs,84792981,PSH-L2,0.567741935483871,0.6312585188550659,0.06351658337119492
12,SpeechCommandsV2,PANNs,84792981,TST-L1,0.7070422535211267,0.8649704679691049,0.15792821444797822
13,SpeechCommandsV2,PANNs,84792981,TST-L2,0.6906860517946388,0.8666969559291231,0.17601090413448428
