,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,SpeechCommandsV2,PANNs,84792981,WHN-L1,0.7126760563380282,0.8126306224443435,0.09995456610631526
1,SpeechCommandsV2,PANNs,84792981,WHN-L2,0.7043162199000454,0.8054520672421627,0.10113584734211722
2,SpeechCommandsV2,PANNs,84792981,ENQ-L1,0.752112676056338,0.7785552021808269,0.02644252612448883
3,SpeechCommandsV2,PANNs,84792981,ENQ-L2,0.7646524307133121,0.7905497501135847,0.025897319400272623
4,SpeechCommandsV2,PANNs,84792981,END1-L1,0.8368014538845979,0.8487051340299864,0.011903680145388451
5,SpeechCommandsV2,PANNs,84792981,END1-L2,0.8401635620172648,0.8552476147205815,0.015084052703316697
6,SpeechCommandsV2,PANNs,84792981,END2-L1,0.8399818264425262,0.8483416628805088,0.00835983643798266
7,SpeechCommandsV2,PANNs,84792981,END2-L2,0.8353475692866879,0.8477055883689232,0.012358019082235328
8,SpeechCommandsV2,PANNs,84792981,ENSC-L1,0.6817810086324398,0.7805542935029532,0.0987732848705134
9,SpeechCommandsV2,PANNs,84792981,ENSC-L2,0.6882326215356656,0.7561108587005907,0.06787823716492514
10,SpeechCommandsV2,PANNs,84792981,PSH-L1,0.7043162199000454,0.7260336210813266,0.021717401181281182
11,SpeechCommandsV2,PANNs,84792981,PSH-L2,0.567741935483871,0.6328032712403453,0.06506133575647433
12,SpeechCommandsV2,PANNs,84792981,TST-L1,0.7072239890958655,0.865243071331213,0.15801908223534755
13,SpeechCommandsV2,PANNs,84792981,TST-L2,0.6908677873693776,0.8653339391185825,0.17446615174920488
