,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,SpeechCommandsV2,PANNs,WHN,L1,0.7127,0.0001,0.8124,0.0004,0.0997,0.0004
1,SpeechCommandsV2,PANNs,WHN,L2,0.7043,0.0,0.8061,0.001,0.1018,0.001
2,SpeechCommandsV2,PANNs,ENSC,L1,0.6818,0.0,0.7819,0.0012,0.1001,0.0013
3,SpeechCommandsV2,PANNs,ENSC,L2,0.6882,0.0001,0.7589,0.003,0.0707,0.0031
4,SpeechCommandsV2,PANNs,PSH,L1,0.7043,0.0,0.7259,0.0005,0.0216,0.0006
5,SpeechCommandsV2,PANNs,PSH,L2,0.5678,0.0,0.6313,0.0014,0.0636,0.0014
6,SpeechCommandsV2,PANNs,TST,L1,0.7071,0.0001,0.8653,0.001,0.1582,0.001
7,SpeechCommandsV2,PANNs,TST,L2,0.6908,0.0001,0.8661,0.0008,0.1754,0.0009
8,SpeechCommandsV2,PANNs,Global,L1,0.7015,0.0,0.7964,0.0008,0.0949,0.0008
9,SpeechCommandsV2,PANNs,Global,L2,0.6628,0.0,0.7656,0.0016,0.1029,0.0016
