,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,SpeechCommandsV2,PANNs,84792981,WHN-L1,0.7128577919127669,0.03771013175829169,-0.6751476601544752
1,SpeechCommandsV2,PANNs,84792981,WHN-L2,0.7043162199000454,0.03425715583825534,-0.67005906406179
2,SpeechCommandsV2,PANNs,84792981,ENQ-L1,0.7522035438437074,0.03943661971830986,-0.7127669241253975
3,SpeechCommandsV2,PANNs,84792981,ENQ-L2,0.7645615629259428,0.04052703316674239,-0.7240345297592004
4,SpeechCommandsV2,PANNs,84792981,END1-L1,0.8368014538845979,0.036892321671967286,-0.7999091322126306
5,SpeechCommandsV2,PANNs,84792981,END1-L2,0.8401635620172648,0.04016356201726488,-0.7999999999999999
6,SpeechCommandsV2,PANNs,84792981,END2-L1,0.8400726942298955,0.04016356201726488,-0.7999091322126306
7,SpeechCommandsV2,PANNs,84792981,END2-L2,0.8352567014993185,0.03898228078146297,-0.7962744207178556
8,SpeechCommandsV2,PANNs,84792981,ENSC-L1,0.6816901408450704,0.03680145388459791,-0.6448886869604725
9,SpeechCommandsV2,PANNs,84792981,ENSC-L2,0.6882326215356656,0.036983189459336666,-0.6512494320763289
10,SpeechCommandsV2,PANNs,84792981,PSH-L1,0.7043162199000454,0.03798273512039982,-0.6663334847796456
11,SpeechCommandsV2,PANNs,84792981,PSH-L2,0.5675601999091322,0.03752839618355293,-0.5300318037255792
12,SpeechCommandsV2,PANNs,84792981,TST-L1,0.7070422535211267,0.042526124488868694,-0.664516129032258
13,SpeechCommandsV2,PANNs,84792981,TST-L2,0.6906860517946388,0.04516129032258064,-0.6455247614720582
