,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,SpeechCommandsV2,PANNs,WHN,L1,0.7129,0.0,0.0378,0.0001,-0.6751,0.0001
1,SpeechCommandsV2,PANNs,WHN,L2,0.7043,0.0,0.0341,0.0002,-0.6702,0.0002
2,SpeechCommandsV2,PANNs,ENQ,L1,0.7521,0.0,0.0395,0.0002,-0.7126,0.0002
3,SpeechCommandsV2,PANNs,ENQ,L2,0.7646,0.0,0.0406,0.0002,-0.724,0.0002
4,SpeechCommandsV2,PANNs,END1,L1,0.8368,0.0,0.0368,0.0001,-0.8,0.0001
5,SpeechCommandsV2,PANNs,END1,L2,0.8402,0.0,0.0397,0.0003,-0.8004,0.0003
6,SpeechCommandsV2,PANNs,END2,L1,0.84,0.0001,0.0402,0.0,-0.7998,0.0001
7,SpeechCommandsV2,PANNs,END2,L2,0.8353,0.0,0.039,0.0,-0.7963,0.0
8,SpeechCommandsV2,PANNs,ENSC,L1,0.6818,0.0,0.037,0.0001,-0.6448,0.0001
9,SpeechCommandsV2,PANNs,ENSC,L2,0.6882,0.0,0.0369,0.0001,-0.6513,0.0001
10,SpeechCommandsV2,PANNs,PSH,L1,0.7043,0.0,0.0381,0.0002,-0.6662,0.0002
11,SpeechCommandsV2,PANNs,PSH,L2,0.5677,0.0001,0.0373,0.0002,-0.5304,0.0003
12,SpeechCommandsV2,PANNs,TST,L1,0.707,0.0,0.0423,0.0002,-0.6647,0.0002
13,SpeechCommandsV2,PANNs,TST,L2,0.6908,0.0,0.0453,0.0002,-0.6455,0.0002
14,SpeechCommandsV2,PANNs,Global,L1,0.7478,0.0,0.0388,0.0001,-0.709,0.0001
15,SpeechCommandsV2,PANNs,Global,L2,0.7273,0.0,0.039,0.0002,-0.6883,0.0002
