,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,SpeechCommandsV2,PANNs,84792981,WHN-L1,0.7128577919127669,0.16319854611540208,-0.5496592457973648
1,SpeechCommandsV2,PANNs,84792981,WHN-L2,0.7043162199000454,0.15556565197637437,-0.548750567923671
2,SpeechCommandsV2,PANNs,84792981,ENQ-L1,0.752112676056338,0.20908677873693776,-0.5430258973194002
3,SpeechCommandsV2,PANNs,84792981,ENQ-L2,0.7645615629259428,0.22298955020445252,-0.5415720127214902
4,SpeechCommandsV2,PANNs,84792981,END1-L1,0.8368014538845979,0.2392548841435711,-0.5975465697410268
5,SpeechCommandsV2,PANNs,84792981,END1-L2,0.8401635620172648,0.250068150840527,-0.5900954111767378
6,SpeechCommandsV2,PANNs,84792981,END2-L1,0.8400726942298955,0.26624261699227625,-0.5738300772376193
7,SpeechCommandsV2,PANNs,84792981,END2-L2,0.8353475692866879,0.25642889595638346,-0.5789186733303044
8,SpeechCommandsV2,PANNs,84792981,ENSC-L1,0.6817810086324398,0.164379827351204,-0.5174011812812358
9,SpeechCommandsV2,PANNs,84792981,ENSC-L2,0.6881417537482962,0.18918673330304406,-0.4989550204452522
10,SpeechCommandsV2,PANNs,84792981,PSH-L1,0.7043162199000454,0.18555202180826896,-0.5187641980917765
11,SpeechCommandsV2,PANNs,84792981,PSH-L2,0.567741935483871,0.16347114947751024,-0.40427078600636074
12,SpeechCommandsV2,PANNs,84792981,TST-L1,0.7070422535211267,0.4395274875056792,-0.2675147660154475
13,SpeechCommandsV2,PANNs,84792981,TST-L2,0.6907769195820082,0.44843253066787825,-0.2423443889141299
