,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,SpeechCommandsV2,PANNs,84792981,WHN-L1,0.7128577919127669,0.18028169014084508,-0.5325761017719218
1,SpeechCommandsV2,PANNs,84792981,WHN-L2,0.7043162199000454,0.16347114947751024,-0.5408450704225352
2,SpeechCommandsV2,PANNs,84792981,ENQ-L1,0.752112676056338,0.2287142208087233,-0.5233984552476147
3,SpeechCommandsV2,PANNs,84792981,ENQ-L2,0.7645615629259428,0.23889141299409358,-0.5256701499318492
4,SpeechCommandsV2,PANNs,84792981,END1-L1,0.8368014538845979,0.26242616992276235,-0.5743752839618356
5,SpeechCommandsV2,PANNs,84792981,END1-L2,0.8401635620172648,0.2413448432530668,-0.598818718764198
6,SpeechCommandsV2,PANNs,84792981,END2-L1,0.8400726942298955,0.24852339845524762,-0.5915492957746479
7,SpeechCommandsV2,PANNs,84792981,END2-L2,0.8352567014993185,0.2724216265333939,-0.5628350749659246
8,SpeechCommandsV2,PANNs,84792981,ENSC-L1,0.6816901408450704,0.17146751476601546,-0.510222626079055
9,SpeechCommandsV2,PANNs,84792981,ENSC-L2,0.6881417537482962,0.1571104043616538,-0.5310313493866424
10,SpeechCommandsV2,PANNs,84792981,PSH-L1,0.704225352112676,0.19454793275783736,-0.5096774193548387
11,SpeechCommandsV2,PANNs,84792981,PSH-L2,0.567741935483871,0.15474784189004998,-0.412994093593821
12,SpeechCommandsV2,PANNs,84792981,TST-L1,0.7070422535211267,0.3923671058609723,-0.3146751476601544
13,SpeechCommandsV2,PANNs,84792981,TST-L2,0.6907769195820082,0.35683780099954565,-0.3339391185824625
