,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,SpeechCommandsV2,PANNs,WHN,L1,0.7128,0.0,0.1702,0.0107,-0.5426,0.0107
1,SpeechCommandsV2,PANNs,WHN,L2,0.7043,0.0,0.1679,0.0083,-0.5364,0.0083
2,SpeechCommandsV2,PANNs,ENQ,L1,0.7521,0.0,0.2183,0.0122,-0.5338,0.0122
3,SpeechCommandsV2,PANNs,ENQ,L2,0.7646,0.0,0.2391,0.0144,-0.5255,0.0144
4,SpeechCommandsV2,PANNs,END1,L1,0.8368,0.0,0.2553,0.0114,-0.5815,0.0114
5,SpeechCommandsV2,PANNs,END1,L2,0.8401,0.0,0.2484,0.0056,-0.5917,0.0056
6,SpeechCommandsV2,PANNs,END2,L1,0.8401,0.0,0.2579,0.0068,-0.5822,0.0068
7,SpeechCommandsV2,PANNs,END2,L2,0.8353,0.0001,0.2543,0.0115,-0.581,0.0115
8,SpeechCommandsV2,PANNs,ENSC,L1,0.6817,0.0001,0.1676,0.0067,-0.5141,0.0067
9,SpeechCommandsV2,PANNs,ENSC,L2,0.6881,0.0,0.1837,0.0163,-0.5044,0.0163
10,SpeechCommandsV2,PANNs,PSH,L1,0.7043,0.0,0.189,0.0047,-0.5153,0.0047
11,SpeechCommandsV2,PANNs,PSH,L2,0.5677,0.0,0.1562,0.0056,-0.4115,0.0056
12,SpeechCommandsV2,PANNs,TST,L1,0.707,0.0,0.3943,0.028,-0.3127,0.028
13,SpeechCommandsV2,PANNs,TST,L2,0.6907,0.0,0.3936,0.0335,-0.2972,0.0335
14,SpeechCommandsV2,PANNs,Global,L1,0.7478,0.0,0.2361,0.0115,-0.5117,0.0115
15,SpeechCommandsV2,PANNs,Global,L2,0.7273,0.0,0.2347,0.0136,-0.4925,0.0136
