,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,UrbanSound8K,AMAuT,WHN,L1,0.6045,0.0,0.7,0.0129,0.0956,0.0129
1,UrbanSound8K,AMAuT,WHN,L2,0.6111,0.0,0.7076,0.0075,0.0965,0.0075
2,UrbanSound8K,AMAuT,ENSC,L1,0.5349,0.0,0.7112,0.0025,0.1763,0.0025
3,UrbanSound8K,AMAuT,ENSC,L2,0.5538,0.0001,0.6997,0.0042,0.1459,0.0042
4,UrbanSound8K,AMAuT,PSH,L1,0.6038,0.0004,0.6485,0.0051,0.0447,0.005
5,UrbanSound8K,AMAuT,PSH,L2,0.5549,0.0,0.5979,0.0052,0.0429,0.0052
6,UrbanSound8K,AMAuT,TST,L1,0.5183,0.0,0.6933,0.0082,0.1749,0.0082
7,UrbanSound8K,AMAuT,TST,L2,0.518,0.0,0.6989,0.0111,0.1809,0.0111
8,UrbanSound8K,AMAuT,Global,L1,0.5654,0.0001,0.6882,0.0072,0.1229,0.0072
9,UrbanSound8K,AMAuT,Global,L2,0.5594,0.0,0.676,0.007,0.1166,0.007
