,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,UrbanSound8K,AMAuT,WHN,L1,0.6045,0.0,0.432,0.0002,-0.1724,0.0002
1,UrbanSound8K,AMAuT,WHN,L2,0.6111,0.0,0.4236,0.0003,-0.1875,0.0003
2,UrbanSound8K,AMAuT,ENSC,L1,0.5349,0.0,0.3935,0.0002,-0.1413,0.0002
3,UrbanSound8K,AMAuT,ENSC,L2,0.5538,0.0,0.379,0.0002,-0.1748,0.0002
4,UrbanSound8K,AMAuT,PSH,L1,0.6036,0.0,0.4116,0.0004,-0.1919,0.0004
5,UrbanSound8K,AMAuT,PSH,L2,0.555,0.0,0.3855,0.0001,-0.1695,0.0001
6,UrbanSound8K,AMAuT,TST,L1,0.5183,0.0,0.4057,0.0004,-0.1126,0.0004
7,UrbanSound8K,AMAuT,TST,L2,0.518,0.0,0.4135,0.0003,-0.1045,0.0003
8,UrbanSound8K,AMAuT,Global,L1,0.5653,0.0,0.4107,0.0003,-0.1546,0.0003
9,UrbanSound8K,AMAuT,Global,L2,0.5595,0.0,0.4004,0.0002,-0.1591,0.0002
