,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,UrbanSound8K,AMAuT,WHN,L1,0.6045,0.0,0.682,0.0044,0.0776,0.0044
1,UrbanSound8K,AMAuT,WHN,L2,0.6111,0.0,0.6851,0.0029,0.074,0.0029
2,UrbanSound8K,AMAuT,ENSC,L1,0.5349,0.0,0.6347,0.0026,0.0999,0.0026
3,UrbanSound8K,AMAuT,ENSC,L2,0.5538,0.0,0.6185,0.0036,0.0648,0.0036
4,UrbanSound8K,AMAuT,PSH,L1,0.6037,0.0003,0.6195,0.0052,0.0158,0.0054
5,UrbanSound8K,AMAuT,PSH,L2,0.555,0.0,0.5774,0.0039,0.0224,0.0039
6,UrbanSound8K,AMAuT,TST,L1,0.5183,0.0,0.6909,0.0087,0.1726,0.0087
7,UrbanSound8K,AMAuT,TST,L2,0.518,0.0,0.6841,0.0052,0.1661,0.0052
8,UrbanSound8K,AMAuT,Global,L1,0.5654,0.0001,0.6568,0.0052,0.0915,0.0053
9,UrbanSound8K,AMAuT,Global,L2,0.5595,0.0,0.6413,0.0039,0.0818,0.0039
