,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,UrbanSound8K,HuBERT,WHN,L1,0.6201,0.0,0.6886,0.0087,0.0685,0.0087
1,UrbanSound8K,HuBERT,WHN,L2,0.613,0.0,0.6864,0.0036,0.0734,0.0036
2,UrbanSound8K,HuBERT,ENSC,L1,0.5068,0.0,0.6455,0.0076,0.1387,0.0076
3,UrbanSound8K,HuBERT,ENSC,L2,0.5246,0.0,0.6178,0.0017,0.0932,0.0017
4,UrbanSound8K,HuBERT,PSH,L1,0.6512,0.0,0.6764,0.0124,0.0252,0.0124
5,UrbanSound8K,HuBERT,PSH,L2,0.6067,0.0,0.6611,0.0026,0.0544,0.0026
6,UrbanSound8K,HuBERT,TST,L1,0.4375,0.0,0.6929,0.0227,0.2554,0.0227
7,UrbanSound8K,HuBERT,TST,L2,0.439,0.0,0.6941,0.0131,0.2551,0.0131
8,UrbanSound8K,HuBERT,Global,L1,0.5539,0.0,0.6758,0.0128,0.122,0.0128
9,UrbanSound8K,HuBERT,Global,L2,0.5458,0.0,0.6649,0.0052,0.119,0.0052
