,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,UrbanSound8K,PANNs,WHN,L1,0.8211,0.0,0.8486,0.0032,0.0275,0.0032
1,UrbanSound8K,PANNs,WHN,L2,0.8269,0.0,0.8445,0.0025,0.0176,0.0025
2,UrbanSound8K,PANNs,ENSC,L1,0.7139,0.0,0.8247,0.0029,0.1108,0.0029
3,UrbanSound8K,PANNs,ENSC,L2,0.7117,0.0,0.8111,0.003,0.0994,0.003
4,UrbanSound8K,PANNs,PSH,L1,0.8027,0.0002,0.8406,0.0022,0.0379,0.0021
5,UrbanSound8K,PANNs,PSH,L2,0.7919,0.0,0.8283,0.003,0.0364,0.003
6,UrbanSound8K,PANNs,TST,L1,0.5113,0.0,0.8509,0.0018,0.3396,0.0018
7,UrbanSound8K,PANNs,TST,L2,0.5007,0.0,0.8444,0.0029,0.3437,0.0029
8,UrbanSound8K,PANNs,Global,L1,0.7122,0.0,0.8412,0.0025,0.129,0.0025
9,UrbanSound8K,PANNs,Global,L2,0.7078,0.0,0.8321,0.0028,0.1243,0.0028
