,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,UrbanSound8K,PANNs,WHN,L1,0.8211,0.0,0.5596,0.002,-0.2615,0.002
1,UrbanSound8K,PANNs,WHN,L2,0.8269,0.0,0.5417,0.0014,-0.2852,0.0015
2,UrbanSound8K,PANNs,ENSC,L1,0.7139,0.0,0.5202,0.0034,-0.1937,0.0034
3,UrbanSound8K,PANNs,ENSC,L2,0.7117,0.0,0.5162,0.0026,-0.1955,0.0026
4,UrbanSound8K,PANNs,PSH,L1,0.8026,0.0002,0.5472,0.0028,-0.2554,0.0029
5,UrbanSound8K,PANNs,PSH,L2,0.7919,0.0,0.5334,0.0029,-0.2585,0.0029
6,UrbanSound8K,PANNs,TST,L1,0.5113,0.0,0.5353,0.0038,0.024,0.0038
7,UrbanSound8K,PANNs,TST,L2,0.5007,0.0,0.5388,0.0031,0.038,0.0031
8,UrbanSound8K,PANNs,Global,L1,0.7122,0.0,0.5406,0.003,-0.1717,0.003
9,UrbanSound8K,PANNs,Global,L2,0.7078,0.0,0.5325,0.0025,-0.1753,0.0025
