,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,UrbanSound8K,PANNs,WHN,L1,0.8211,0.0,0.818,0.0084,-0.0031,0.0084
1,UrbanSound8K,PANNs,WHN,L2,0.8269,0.0,0.8175,0.0021,-0.0094,0.0021
2,UrbanSound8K,PANNs,ENSC,L1,0.7139,0.0,0.7772,0.002,0.0634,0.002
3,UrbanSound8K,PANNs,ENSC,L2,0.7117,0.0,0.7645,0.0034,0.0528,0.0034
4,UrbanSound8K,PANNs,PSH,L1,0.8026,0.0002,0.8269,0.0065,0.0243,0.0066
5,UrbanSound8K,PANNs,PSH,L2,0.7919,0.0,0.8193,0.0028,0.0274,0.0028
6,UrbanSound8K,PANNs,TST,L1,0.5113,0.0,0.8317,0.0043,0.3204,0.0043
7,UrbanSound8K,PANNs,TST,L2,0.5007,0.0,0.8293,0.0077,0.3286,0.0077
8,UrbanSound8K,PANNs,Global,L1,0.7122,0.0,0.8134,0.0053,0.1013,0.0053
9,UrbanSound8K,PANNs,Global,L2,0.7078,0.0,0.8076,0.004,0.0998,0.004
