,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,VocalSound,AMAuT,WHN,L1,0.7268,0.0,0.8758,0.0029,0.149,0.0029
1,VocalSound,AMAuT,WHN,L2,0.7143,0.0,0.8756,0.003,0.1613,0.003
2,VocalSound,AMAuT,ENQ,L1,0.785,0.0,0.8556,0.0039,0.0706,0.0039
3,VocalSound,AMAuT,ENQ,L2,0.786,0.0002,0.8562,0.0028,0.0702,0.0027
4,VocalSound,AMAuT,END1,L1,0.8212,0.0,0.8903,0.0018,0.0691,0.0018
5,VocalSound,AMAuT,END1,L2,0.8173,0.0,0.8855,0.0021,0.0682,0.0021
6,VocalSound,AMAuT,END2,L1,0.8148,0.0,0.8857,0.0015,0.0708,0.0015
7,VocalSound,AMAuT,END2,L2,0.8063,0.0002,0.885,0.0024,0.0788,0.0023
8,VocalSound,AMAuT,ENSC,L1,0.7215,0.0,0.8714,0.0025,0.1499,0.0025
9,VocalSound,AMAuT,ENSC,L2,0.7254,0.0,0.8516,0.002,0.1262,0.002
10,VocalSound,AMAuT,PSH,L1,0.836,0.0,0.8577,0.003,0.0217,0.003
11,VocalSound,AMAuT,PSH,L2,0.8109,0.0,0.838,0.0032,0.0271,0.0032
12,VocalSound,AMAuT,TST,L1,0.7814,0.0002,0.8772,0.0038,0.0959,0.0039
13,VocalSound,AMAuT,TST,L2,0.7767,0.0,0.8759,0.0032,0.0992,0.0032
14,VocalSound,AMAuT,Global,L1,0.7838,0.0,0.8734,0.0028,0.0896,0.0028
15,VocalSound,AMAuT,Global,L2,0.7767,0.0001,0.8668,0.0027,0.0901,0.0026
