,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,VocalSound,AMAuT,97005989,WHN-L1,0.7268170426065163,0.872458925090504,0.1456418824839878
1,VocalSound,AMAuT,97005989,WHN-L2,0.7142857142857143,0.8774714564188248,0.16318574213311055
2,VocalSound,AMAuT,97005989,ENQ-L1,0.7850181008075745,0.8518518518518519,0.06683375104427736
3,VocalSound,AMAuT,97005989,ENQ-L2,0.7861319966583125,0.8557504873294347,0.06961849067112225
4,VocalSound,AMAuT,97005989,END1-L1,0.8212197159565581,0.8886104149262044,0.06739069896964633
5,VocalSound,AMAuT,97005989,END1-L2,0.8173210804789752,0.8833194096351991,0.06599832915622383
6,VocalSound,AMAuT,97005989,END2-L1,0.8148148148148148,0.884433305485937,0.06961849067112225
7,VocalSound,AMAuT,97005989,END2-L2,0.8061821219715957,0.8827624617098301,0.07658033973823442
8,VocalSound,AMAuT,97005989,ENSC-L1,0.721526037315511,0.8719019771651351,0.15037593984962405
9,VocalSound,AMAuT,97005989,ENSC-L2,0.7254246727930939,0.8538011695906432,0.12837649679754937
10,VocalSound,AMAuT,97005989,PSH-L1,0.8359788359788359,0.8596491228070176,0.02367028682818162
11,VocalSound,AMAuT,97005989,PSH-L2,0.8109161793372319,0.8418267891952103,0.030910609857978333
12,VocalSound,AMAuT,97005989,TST-L1,0.7813979392926761,0.8805346700083542,0.09913673071567808
13,VocalSound,AMAuT,97005989,TST-L2,0.7766638819270398,0.8785853522695628,0.10192147034252297
