,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,VocalSound,AMAuT,97005989,WHN-L1,0.7268170426065163,0.873572820941242,0.14675577833472575
1,VocalSound,AMAuT,97005989,WHN-L2,0.7142857142857143,0.8777499303815093,0.16346421609579498
2,VocalSound,AMAuT,97005989,ENQ-L1,0.7850181008075745,0.8538011695906432,0.06878306878306872
3,VocalSound,AMAuT,97005989,ENQ-L2,0.7858535226956279,0.8560289612921191,0.07017543859649122
4,VocalSound,AMAuT,97005989,END1-L1,0.8212197159565581,0.8866610971874129,0.06544138123085486
5,VocalSound,AMAuT,97005989,END1-L2,0.8173210804789752,0.8894458368142578,0.07212475633528259
6,VocalSound,AMAuT,97005989,END2-L1,0.8148148148148148,0.883876357560568,0.06906154274575327
7,VocalSound,AMAuT,97005989,END2-L2,0.8061821219715957,0.8835978835978836,0.07741576162628794
8,VocalSound,AMAuT,97005989,ENSC-L1,0.721526037315511,0.8752436647173489,0.15371762740183792
9,VocalSound,AMAuT,97005989,ENSC-L2,0.7254246727930939,0.8532442216652742,0.1278195488721804
10,VocalSound,AMAuT,97005989,PSH-L1,0.8357003620161515,0.8585352269562796,0.022834864940128097
11,VocalSound,AMAuT,97005989,PSH-L2,0.8109161793372319,0.8393205235310498,0.028404344193817876
12,VocalSound,AMAuT,97005989,TST-L1,0.7813979392926761,0.8805346700083542,0.09913673071567808
13,VocalSound,AMAuT,97005989,TST-L2,0.7763854079643553,0.8755221386800334,0.09913673071567808
