,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,VocalSound,AMAuT,97005989,WHN-L1,0.7268170426065163,0.8721804511278195,0.14536340852130325
1,VocalSound,AMAuT,97005989,WHN-L2,0.7142857142857143,0.8649401280980228,0.15065441381230849
2,VocalSound,AMAuT,97005989,ENQ-L1,0.7850181008075745,0.8382066276803118,0.05318852687273734
3,VocalSound,AMAuT,97005989,ENQ-L2,0.7858535226956279,0.8390420495683654,0.05318852687273745
4,VocalSound,AMAuT,97005989,END1-L1,0.8212197159565581,0.8738512949039264,0.05263157894736836
5,VocalSound,AMAuT,97005989,END1-L2,0.8173210804789752,0.8760790866054023,0.05875800612642712
6,VocalSound,AMAuT,97005989,END2-L1,0.8148148148148148,0.8685602896129212,0.05374547479810643
7,VocalSound,AMAuT,97005989,END2-L2,0.8061821219715957,0.8732943469785575,0.06711222500696179
8,VocalSound,AMAuT,97005989,ENSC-L1,0.721526037315511,0.8643831801726538,0.1428571428571428
9,VocalSound,AMAuT,97005989,ENSC-L2,0.7254246727930939,0.83375104427736,0.10832637148426616
10,VocalSound,AMAuT,97005989,PSH-L1,0.8359788359788359,0.8418267891952103,0.005847953216374324
11,VocalSound,AMAuT,97005989,PSH-L2,0.8109161793372319,0.8120300751879699,0.001113895850737956
12,VocalSound,AMAuT,97005989,TST-L1,0.7816764132553606,0.8613199665831245,0.07964355332776385
13,VocalSound,AMAuT,97005989,TST-L2,0.7766638819270398,0.8576998050682261,0.08103592314118624
