,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,VocalSound,AMAuT,WHN,L1,0.7268,0.0,0.8671,0.004,0.1403,0.004
1,VocalSound,AMAuT,WHN,L2,0.7143,0.0,0.8618,0.0043,0.1475,0.0043
2,VocalSound,AMAuT,ENQ,L1,0.785,0.0,0.8332,0.0035,0.0482,0.0035
3,VocalSound,AMAuT,ENQ,L2,0.7859,0.0,0.8396,0.0008,0.0537,0.0008
4,VocalSound,AMAuT,END1,L1,0.8212,0.0,0.8721,0.0045,0.0509,0.0045
5,VocalSound,AMAuT,END1,L2,0.8173,0.0,0.8761,0.0009,0.0588,0.0009
6,VocalSound,AMAuT,END2,L1,0.8148,0.0,0.8708,0.0022,0.056,0.0022
7,VocalSound,AMAuT,END2,L2,0.8062,0.0001,0.8733,0.0021,0.0671,0.0021
8,VocalSound,AMAuT,ENSC,L1,0.7215,0.0,0.8606,0.0066,0.1391,0.0066
9,VocalSound,AMAuT,ENSC,L2,0.7254,0.0,0.8353,0.0026,0.1099,0.0026
10,VocalSound,AMAuT,PSH,L1,0.8359,0.0002,0.8413,0.0045,0.0054,0.0046
11,VocalSound,AMAuT,PSH,L2,0.8109,0.0,0.8112,0.004,0.0003,0.004
12,VocalSound,AMAuT,TST,L1,0.7816,0.0001,0.8623,0.0052,0.0807,0.0052
13,VocalSound,AMAuT,TST,L2,0.7767,0.0,0.8571,0.0028,0.0804,0.0028
14,VocalSound,AMAuT,Global,L1,0.7838,0.0,0.8582,0.0044,0.0744,0.0044
15,VocalSound,AMAuT,Global,L2,0.7767,0.0,0.8506,0.0025,0.074,0.0025
