,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,VocalSound,AMAuT,97005989,WHN-L1,0.7268170426065163,0.8448900027847396,0.11807296017822333
1,VocalSound,AMAuT,97005989,WHN-L2,0.7142857142857143,0.8501810080757449,0.13589529379003062
2,VocalSound,AMAuT,97005989,ENQ-L1,0.7850181008075745,0.8078529657477026,0.022834864940128097
3,VocalSound,AMAuT,97005989,ENQ-L2,0.7861319966583125,0.8184349763297132,0.03230297967140072
4,VocalSound,AMAuT,97005989,END1-L1,0.8212197159565581,0.8596491228070176,0.03842940685045948
5,VocalSound,AMAuT,97005989,END1-L2,0.8173210804789752,0.8657755499860763,0.04845446950710108
6,VocalSound,AMAuT,97005989,END2-L1,0.8148148148148148,0.8646616541353384,0.049846839320523584
7,VocalSound,AMAuT,97005989,END2-L2,0.8061821219715957,0.8643831801726538,0.05820105820105814
8,VocalSound,AMAuT,97005989,ENSC-L1,0.721526037315511,0.8446115288220551,0.12308549150654413
9,VocalSound,AMAuT,97005989,ENSC-L2,0.7251461988304093,0.8159287106655527,0.09078251183514341
10,VocalSound,AMAuT,97005989,PSH-L1,0.8357003620161515,0.8387635756056808,0.0030632135895293233
11,VocalSound,AMAuT,97005989,PSH-L2,0.8109161793372319,0.8192703982177666,0.00835421888053467
12,VocalSound,AMAuT,97005989,TST-L1,0.7813979392926761,0.8245614035087719,0.04316346421609585
13,VocalSound,AMAuT,97005989,TST-L2,0.7766638819270398,0.8201058201058201,0.04344193817878028
