,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,VocalSound,AMAuT,97005989,WHN-L1,0.7268170426065163,0.848510164299638,0.12169312169312174
1,VocalSound,AMAuT,97005989,WHN-L2,0.7142857142857143,0.8473962684489,0.13311055416318573
2,VocalSound,AMAuT,97005989,ENQ-L1,0.7850181008075745,0.8050682261208577,0.020050125313283207
3,VocalSound,AMAuT,97005989,ENQ-L2,0.7858535226956279,0.8153717627401837,0.029518240044555832
4,VocalSound,AMAuT,97005989,END1-L1,0.8212197159565581,0.8590921748816486,0.0378724589250905
5,VocalSound,AMAuT,97005989,END1-L2,0.8173210804789752,0.8641047062099694,0.04678362573099415
6,VocalSound,AMAuT,97005989,END2-L1,0.8148148148148148,0.8629908103592314,0.04817599554441665
7,VocalSound,AMAuT,97005989,END2-L2,0.8061821219715957,0.8649401280980228,0.05875800612642712
8,VocalSound,AMAuT,97005989,ENSC-L1,0.721526037315511,0.8454469507101086,0.12392091339459754
9,VocalSound,AMAuT,97005989,ENSC-L2,0.7254246727930939,0.8170426065162907,0.09161793372319682
10,VocalSound,AMAuT,97005989,PSH-L1,0.8357003620161515,0.8365357839042049,0.0008354218880534114
11,VocalSound,AMAuT,97005989,PSH-L2,0.8109161793372319,0.8206627680311891,0.00974658869395717
12,VocalSound,AMAuT,97005989,TST-L1,0.7816764132553606,0.8267891952102479,0.045112781954887216
13,VocalSound,AMAuT,97005989,TST-L2,0.7766638819270398,0.8167641325536062,0.040100250626566414
