,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,VocalSound,AMAuT,WHN,L1,0.7268,0.0,0.8467,0.0024,0.1199,0.0024
1,VocalSound,AMAuT,WHN,L2,0.7143,0.0,0.8476,0.0015,0.1333,0.0015
2,VocalSound,AMAuT,ENQ,L1,0.785,0.0,0.8087,0.0026,0.0237,0.0026
3,VocalSound,AMAuT,ENQ,L2,0.786,0.0002,0.8189,0.0026,0.0329,0.0025
4,VocalSound,AMAuT,END1,L1,0.8212,0.0,0.8594,0.0011,0.0382,0.0011
5,VocalSound,AMAuT,END1,L2,0.8173,0.0,0.8635,0.0021,0.0462,0.0021
6,VocalSound,AMAuT,END2,L1,0.8148,0.0,0.8633,0.0013,0.0485,0.0013
7,VocalSound,AMAuT,END2,L2,0.8062,0.0,0.8653,0.0013,0.0591,0.0013
8,VocalSound,AMAuT,ENSC,L1,0.7215,0.0,0.8448,0.0008,0.1233,0.0008
9,VocalSound,AMAuT,ENSC,L2,0.7254,0.0001,0.8162,0.0012,0.0908,0.0011
10,VocalSound,AMAuT,PSH,L1,0.8358,0.0001,0.8378,0.0012,0.0021,0.0011
11,VocalSound,AMAuT,PSH,L2,0.8109,0.0,0.819,0.0013,0.0081,0.0013
12,VocalSound,AMAuT,TST,L1,0.7816,0.0002,0.8259,0.0013,0.0443,0.0012
13,VocalSound,AMAuT,TST,L2,0.7767,0.0,0.8189,0.0017,0.0422,0.0017
14,VocalSound,AMAuT,Global,L1,0.7838,0.0,0.8409,0.0015,0.0571,0.0015
15,VocalSound,AMAuT,Global,L2,0.7767,0.0,0.8356,0.0017,0.0589,0.0016
