,Dataset,Algorithm,Corruption-type,Corruption-level,Before-mean,Before-std,After-mean,After-std,Improve-mean,Improve-std
0,VocalSound,HuBERT,WHN,L1,0.5793,0.0002,0.9106,0.0022,0.3312,0.0022
1,VocalSound,HuBERT,WHN,L2,0.5806,0.0001,0.904,0.0026,0.3235,0.0027
2,VocalSound,HuBERT,ENSC,L1,0.6398,0.0002,0.9029,0.0049,0.2631,0.0051
3,VocalSound,HuBERT,ENSC,L2,0.6808,0.0002,0.9029,0.002,0.2222,0.0021
4,VocalSound,HuBERT,PSH,L1,0.8879,0.0002,0.9065,0.0017,0.0186,0.0017
5,VocalSound,HuBERT,PSH,L2,0.863,0.0,0.8942,0.0015,0.0312,0.0015
6,VocalSound,HuBERT,TST,L1,0.7084,0.0,0.9094,0.0017,0.201,0.0017
7,VocalSound,HuBERT,TST,L2,0.7047,0.0002,0.906,0.0028,0.2014,0.0029
8,VocalSound,HuBERT,Global,L1,0.7039,0.0002,0.9073,0.0026,0.2035,0.0027
9,VocalSound,HuBERT,Global,L2,0.7073,0.0001,0.9018,0.0022,0.1946,0.0023
