,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,VocalSound,HuBERT,119772166,WHN-L1,0.5795043163464216,0.9108883319409635,0.3313840155945419
1,VocalSound,HuBERT,119772166,WHN-L2,0.5806182121971596,0.9055973266499582,0.3249791144527986
2,VocalSound,HuBERT,119772166,ENQ-L1,0.6961849067112225,0.8952937900306321,0.19910888331940968
3,VocalSound,HuBERT,119772166,ENQ-L2,0.7296017822333611,0.9030910609857978,0.1734892787524367
4,VocalSound,HuBERT,119772166,END1-L1,0.8482316903369534,0.9156223893065998,0.06739069896964633
5,VocalSound,HuBERT,119772166,END1-L2,0.8340295182400446,0.9122807017543859,0.07825118351434135
6,VocalSound,HuBERT,119772166,END2-L1,0.8334725703146756,0.9161793372319688,0.08270676691729317
7,VocalSound,HuBERT,119772166,END2-L2,0.7875243664717348,0.9133945976051239,0.12587023113338902
8,VocalSound,HuBERT,119772166,ENSC-L1,0.6399331662489557,0.8983570036201615,0.2584238373712058
9,VocalSound,HuBERT,119772166,ENSC-L2,0.6808688387635756,0.9008632692843219,0.2199944305207463
10,VocalSound,HuBERT,119772166,PSH-L1,0.8877749930381509,0.9081035923141186,0.02032859927596775
11,VocalSound,HuBERT,119772166,PSH-L2,0.8629908103592314,0.8958507379560011,0.0328599275967697
12,VocalSound,HuBERT,119772166,TST-L1,0.70843776106934,0.910609857978279,0.202172096908939
13,VocalSound,HuBERT,119772166,TST-L2,0.7048175995544417,0.9022556390977443,0.19743803954330263
