,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,VocalSound,HuBERT,119772166,WHN-L1,0.5792258423837371,0.9036480089111668,0.3244221665274297
1,VocalSound,HuBERT,119772166,WHN-L2,0.5806182121971596,0.9008632692843219,0.32024505708716233
2,VocalSound,HuBERT,119772166,ENQ-L1,0.6961849067112225,0.8939014202172096,0.19771651350598718
3,VocalSound,HuBERT,119772166,ENQ-L2,0.7296017822333611,0.898635477582846,0.16903369534948487
4,VocalSound,HuBERT,119772166,END1-L1,0.8482316903369534,0.9125591757170705,0.06432748538011701
5,VocalSound,HuBERT,119772166,END1-L2,0.83375104427736,0.9108883319409635,0.0771372876636035
6,VocalSound,HuBERT,119772166,END2-L1,0.8334725703146756,0.9159008632692843,0.08242829295460874
7,VocalSound,HuBERT,119772166,END2-L2,0.7878028404344194,0.9139515455304928,0.12614870509607345
8,VocalSound,HuBERT,119772166,ENSC-L1,0.6396546922862713,0.9030910609857978,0.2634363686995266
9,VocalSound,HuBERT,119772166,ENSC-L2,0.6805903648008911,0.8947368421052632,0.21414647730437208
10,VocalSound,HuBERT,119772166,PSH-L1,0.8880534670008354,0.9055973266499582,0.01754385964912275
11,VocalSound,HuBERT,119772166,PSH-L2,0.8629908103592314,0.8916736285157337,0.02868281815650231
12,VocalSound,HuBERT,119772166,TST-L1,0.7087162350320245,0.9114452798663325,0.20272904483430798
13,VocalSound,HuBERT,119772166,TST-L2,0.7048175995544417,0.9067112225006961,0.20189362294625446
