,Dataset,Algorithm,Param No.,Corruption,Non-adapted,Adapted,Improved
0,VocalSound,PANNs,84778075,WHN-L1,0.8668894458368143,0.899192425508215,0.03230297967140072
1,VocalSound,PANNs,84778075,WHN-L2,0.8624338624338624,0.8969646338067391,0.034530771372876634
2,VocalSound,PANNs,84778075,ENQ-L1,0.8624338624338624,0.8905597326649958,0.028125870231133332
3,VocalSound,PANNs,84778075,ENQ-L2,0.8618769145084935,0.8911166805903648,0.029239766081871288
4,VocalSound,PANNs,84778075,END1-L1,0.8950153160679476,0.9055973266499582,0.010582010582010581
5,VocalSound,PANNs,84778075,END1-L2,0.8905597326649958,0.9030910609857978,0.01253132832080206
6,VocalSound,PANNs,84778075,END2-L1,0.8880534670008354,0.9055973266499582,0.01754385964912275
7,VocalSound,PANNs,84778075,END2-L2,0.8805346700083542,0.9047619047619048,0.024227234753550597
8,VocalSound,PANNs,84778075,ENSC-L1,0.8404344193817878,0.8886104149262044,0.04817599554441665
9,VocalSound,PANNs,84778075,ENSC-L2,0.8434976329713172,0.8830409356725146,0.039543302701197436
10,VocalSound,PANNs,84778075,PSH-L1,0.8618769145084935,0.8863826232247285,0.02450570871623503
11,VocalSound,PANNs,84778075,PSH-L2,0.8468393205235311,0.8721804511278195,0.025341130604288442
12,VocalSound,PANNs,84778075,TST-L1,0.36563631300473404,0.8922305764411027,0.5265942634363687
13,VocalSound,PANNs,84778075,TST-L2,0.3670286828181565,0.8847117794486216,0.5176830966304651
